organism,id,protein_id,go_id,ontology,description,
5530,,KFG80079.1,4497,MF,monooxygenase activity,
5530,,KFG80079.1,4556,MF,alpha-amylase activity,
5530,,KFG80079.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG80079.1,46872,MF,metal ion binding,
5530,,KFG80079.1,20037,MF,heme binding,
5530,,KFG80079.1,55085,BP,transmembrane transport,
5530,,KFG80079.1,9055,MF,electron transfer activity,
5530,,KFG80080.1,3824,MF,catalytic activity,
5530,,KFG80081.1,102483,MF,scopolin beta-glucosidase activity,
5530,,KFG80081.1,30245,BP,cellulose catabolic process,
5530,,KFG80081.1,5887,CC,integral component of plasma membrane,
5530,,KFG80081.1,8422,MF,beta-glucosidase activity,
5530,,KFG80081.1,55085,BP,transmembrane transport,
5530,,KFG80082.1,4497,MF,monooxygenase activity,
5530,,KFG80082.1,55114,BP,oxidation-reduction process,
5530,,KFG80082.1,16021,CC,integral component of membrane,
5530,,KFG80082.1,16705,MF,oxidoreductase activity,
5530,,KFG80082.1,5506,MF,iron ion binding,
5530,,KFG80082.1,20037,MF,heme binding,
5530,,KFG80082.1,71949,MF,FAD binding,
5530,,KFG80083.1,16491,MF,oxidoreductase activity,
5530,,KFG80083.1,55114,BP,oxidation-reduction process,
5530,,KFG80083.1,166,MF,nucleotide binding,
5530,,KFG80084.1,16853,MF,isomerase activity,
5530,,KFG80085.1,16787,MF,hydrolase activity,
5530,,KFG80085.1,6508,BP,proteolysis,
5530,,KFG80085.1,16829,MF,lyase activity,
5530,,KFG80085.1,140096,MF,catalytic activity,
5530,,KFG80085.1,55114,BP,oxidation-reduction process,
5530,,KFG80085.1,16491,MF,oxidoreductase activity,
5530,,KFG80086.1,16787,MF,hydrolase activity,
5530,,KFG80086.1,6508,BP,proteolysis,
5530,,KFG80086.1,140096,MF,catalytic activity,
5530,,KFG80086.1,16829,MF,lyase activity,
5530,,KFG80086.1,55114,BP,oxidation-reduction process,
5530,,KFG80086.1,31177,MF,phosphopantetheine binding,
5530,,KFG80086.1,16491,MF,oxidoreductase activity,
5530,,KFG80086.1,16740,MF,transferase activity,
5530,,KFG80087.1,50660,MF,flavin adenine dinucleotide binding,
5530,,KFG80087.1,55114,BP,oxidation-reduction process,
5530,,KFG80087.1,5576,CC,extracellular region,
5530,,KFG80087.1,16614,MF,oxidoreductase activity,
5530,,KFG80087.1,16021,CC,integral component of membrane,
5530,,KFG80087.1,5975,BP,carbohydrate metabolic process,
5530,,KFG80087.1,6979,BP,response to oxidative stress,
5530,,KFG80087.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG80087.1,98869,BP,cellular oxidant detoxification,
5530,,KFG80087.1,5634,CC,nucleus,
5530,,KFG80087.1,30248,MF,cellulose binding,
5530,,KFG80087.1,46914,MF,transition metal ion binding,
5530,,KFG80087.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG80087.1,4601,MF,peroxidase activity,
5530,,KFG80087.1,16705,MF,oxidoreductase activity,
5530,,KFG80087.1,20037,MF,heme binding,
5530,,KFG80089.1,4222,MF,metalloendopeptidase activity,
5530,,KFG80089.1,5576,CC,extracellular region,
5530,,KFG80089.1,6508,BP,proteolysis,
5530,,KFG80089.1,16021,CC,integral component of membrane,
5530,,KFG80089.1,46872,MF,metal ion binding,
5530,,KFG80089.1,9405,BP,pathogenesis,
5530,,KFG80090.1,10181,MF,FMN binding,
5530,,KFG80090.1,55114,BP,oxidation-reduction process,
5530,,KFG80090.1,16021,CC,integral component of membrane,
5530,,KFG80090.1,33609,BP,oxalate metabolic process,
5530,,KFG80090.1,16491,MF,oxidoreductase activity,
5530,,KFG80090.1,398,BP,mRNA splicing,
5530,,KFG80090.1,5634,CC,nucleus,
5530,,KFG80090.1,6508,BP,proteolysis,
5530,,KFG80090.1,45735,MF,nutrient reservoir activity,
5530,,KFG80090.1,4222,MF,metalloendopeptidase activity,
5530,,KFG80090.1,50661,MF,NADP binding,
5530,,KFG80090.1,50660,MF,flavin adenine dinucleotide binding,
5530,,KFG80090.1,5506,MF,iron ion binding,
5530,,KFG80090.1,20037,MF,heme binding,
5530,,KFG80091.1,5576,CC,extracellular region,
5530,,KFG80091.1,16491,MF,oxidoreductase activity,
5530,,KFG80091.1,55114,BP,oxidation-reduction process,
5530,,KFG80091.1,46872,MF,metal ion binding,
5530,,KFG80091.1,16021,CC,integral component of membrane,
5530,,KFG80091.1,16787,MF,hydrolase activity,
5530,,KFG80093.1,16021,CC,integral component of membrane,
5530,,KFG80094.1,5887,CC,integral component of plasma membrane,
5530,,KFG80094.1,55085,BP,transmembrane transport,
5530,,KFG80094.1,16705,MF,oxidoreductase activity,
5530,,KFG80094.1,4497,MF,monooxygenase activity,
5530,,KFG80094.1,50661,MF,NADP binding,
5530,,KFG80094.1,55114,BP,oxidation-reduction process,
5530,,KFG80094.1,50660,MF,flavin adenine dinucleotide binding,
5530,,KFG80094.1,32259,BP,methylation,
5530,,KFG80094.1,8168,MF,methyltransferase activity,
5530,,KFG80095.1,4499,MF,N,
5530,,KFG80095.1,55114,BP,oxidation-reduction process,
5530,,KFG80095.1,5887,CC,integral component of plasma membrane,
5530,,KFG80095.1,50661,MF,NADP binding,
5530,,KFG80095.1,55085,BP,transmembrane transport,
5530,,KFG80095.1,50660,MF,flavin adenine dinucleotide binding,
5530,,KFG80096.1,8080,MF,N-acetyltransferase activity,
5530,,KFG80096.1,30920,BP,peptidyl-serine acetylation,
5530,,KFG80096.1,5737,CC,cytoplasm,
5530,,KFG80096.1,18209,BP,peptidyl-serine modification,
5530,,KFG80096.1,6474,BP,N-terminal protein amino acid acetylation,
5530,,KFG80097.1,33897,MF,ribonuclease T2 activity,
5530,,KFG80097.1,90502,BP,RNA phosphodiester bond hydrolysis,
5530,,KFG80097.1,5576,CC,extracellular region,
5530,,KFG80097.1,3723,MF,RNA binding,
5530,,KFG80097.1,8484,MF,sulfuric ester hydrolase activity,
5530,,KFG80097.1,6401,BP,RNA catabolic process,
5530,,KFG80097.1,16829,MF,lyase activity,
5530,,KFG80098.1,8081,MF,phosphoric diester hydrolase activity,
5530,,KFG80098.1,6629,BP,lipid metabolic process,
5530,,KFG80098.1,16021,CC,integral component of membrane,
5530,,KFG80098.1,90502,BP,RNA phosphodiester bond hydrolysis,
5530,,KFG80098.1,5576,CC,extracellular region,
5530,,KFG80098.1,33897,MF,ribonuclease T2 activity,
5530,,KFG80098.1,3723,MF,RNA binding,
5530,,KFG80098.1,55114,BP,oxidation-reduction process,
5530,,KFG80098.1,16491,MF,oxidoreductase activity,
5530,,KFG80098.1,32259,BP,methylation,
5530,,KFG80098.1,8168,MF,methyltransferase activity,
5530,,KFG80100.1,31177,MF,phosphopantetheine binding,
5530,,KFG80100.1,55114,BP,oxidation-reduction process,
5530,,KFG80100.1,16491,MF,oxidoreductase activity,
5530,,KFG80100.1,16740,MF,transferase activity,
5530,,KFG80101.1,46983,MF,protein dimerization activity,
5530,,KFG80101.1,3677,MF,DNA binding,
5530,,KFG80102.1,16747,MF,transferase activity,
5530,,KFG80102.1,10124,BP,phenylacetate catabolic process,
5530,,KFG80102.1,42579,CC,microbody,
5530,,KFG80102.1,6635,BP,fatty acid beta-oxidation,
5530,,KFG80102.1,16021,CC,integral component of membrane,
5530,,KFG80103.1,16539,BP,intein-mediated protein splicing,
5530,,KFG80104.1,8080,MF,N-acetyltransferase activity,
5530,,KFG80105.1,16787,MF,hydrolase activity,
5530,,KFG80105.1,5975,BP,carbohydrate metabolic process,
5530,,KFG80105.1,8080,MF,N-acetyltransferase activity,
5530,,KFG80106.1,71949,MF,FAD binding,
5530,,KFG80106.1,55114,BP,oxidation-reduction process,
5530,,KFG80106.1,16021,CC,integral component of membrane,
5530,,KFG80106.1,4497,MF,monooxygenase activity,
5530,,KFG80106.1,16705,MF,oxidoreductase activity,
5530,,KFG80107.1,42626,MF,ATPase-coupled transmembrane transporter activity,
5530,,KFG80107.1,55085,BP,transmembrane transport,
5530,,KFG80107.1,16021,CC,integral component of membrane,
5530,,KFG80107.1,16887,MF,ATPase activity,
5530,,KFG80107.1,5886,CC,plasma membrane,
5530,,KFG80107.1,5524,MF,ATP binding,
5530,,KFG80108.1,19867,CC,outer membrane,
5530,,KFG80108.1,4064,MF,arylesterase activity,
5530,,KFG80108.1,16021,CC,integral component of membrane,
5530,,KFG80109.1,16021,CC,integral component of membrane,
5530,,KFG80109.1,61631,MF,ubiquitin conjugating enzyme activity,
5530,,KFG80109.1,30433,BP,ubiquitin-dependent ERAD pathway,
5530,,KFG80109.1,209,BP,protein polyubiquitination,
5530,,KFG80109.1,5783,CC,endoplasmic reticulum,
5530,,KFG80109.1,16887,MF,ATPase activity,
5530,,KFG80109.1,5524,MF,ATP binding,
5530,,KFG80110.1,71949,MF,FAD binding,
5530,,KFG80110.1,55114,BP,oxidation-reduction process,
5530,,KFG80110.1,5634,CC,nucleus,
5530,,KFG80110.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG80110.1,5887,CC,integral component of plasma membrane,
5530,,KFG80110.1,4497,MF,monooxygenase activity,
5530,,KFG80110.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG80110.1,8270,MF,zinc ion binding,
5530,,KFG80110.1,6351,BP,transcription,
5530,,KFG80110.1,3677,MF,DNA binding,
5530,,KFG80110.1,22857,MF,transmembrane transporter activity,
5530,,KFG80110.1,55085,BP,transmembrane transport,
5530,,KFG80110.1,44550,BP,secondary metabolite biosynthetic process,
5530,,KFG80111.1,8168,MF,methyltransferase activity,
5530,,KFG80111.1,32259,BP,methylation,
5530,,KFG80112.1,16853,MF,isomerase activity,
5530,,KFG80112.1,16021,CC,integral component of membrane,
5530,,KFG80112.1,6281,BP,DNA repair,
5530,,KFG80112.1,3908,MF,methylated-DNA-[protein]-cysteine S-methyltransferase activity,
5530,,KFG80112.1,16887,MF,ATPase activity,
5530,,KFG80112.1,32259,BP,methylation,
5530,,KFG80112.1,5524,MF,ATP binding,
5530,,KFG80115.1,16021,CC,integral component of membrane,
5530,,KFG80115.1,16301,MF,kinase activity,
5530,,KFG80115.1,16310,BP,phosphorylation,
5530,,KFG80115.1,4408,MF,holocytochrome-c synthase activity,
5530,,KFG80115.1,5739,CC,mitochondrion,
5530,,KFG80115.1,16773,MF,phosphotransferase activity,
5530,,KFG80115.1,6464,BP,cellular protein modification process,
5530,,KFG80115.1,140096,MF,catalytic activity,
5530,,KFG80115.1,5524,MF,ATP binding,
5530,,KFG80116.1,4408,MF,holocytochrome-c synthase activity,
5530,,KFG80116.1,5743,CC,mitochondrial inner membrane,
5530,,KFG80116.1,18063,BP,cytochrome c-heme linkage,
5530,,KFG80116.1,46872,MF,metal ion binding,
5530,,KFG80116.1,16021,CC,integral component of membrane,
5530,,KFG80117.1,3676,MF,nucleic acid binding,
5530,,KFG80119.1,30686,CC,90S preribosome,
5530,,KFG80119.1,30490,BP,maturation of SSU-rRNA,
5530,,KFG80119.1,16210,MF,naringenin-chalcone synthase activity,
5530,,KFG80119.1,3677,MF,DNA binding,
5530,,KFG80119.1,5634,CC,nucleus,
5530,,KFG80119.1,5524,MF,ATP binding,
5530,,KFG80119.1,70013,CC,intracellular organelle lumen,
5530,,KFG80119.1,44446,CC,intracellular organelle part,
5530,,KFG80119.1,16787,MF,hydrolase activity,
5530,,KFG80119.1,43232,CC,intracellular non-membrane-bounded organelle,
5530,,KFG80119.1,9058,BP,biosynthetic process,
5530,,KFG80121.1,22857,MF,transmembrane transporter activity,
5530,,KFG80121.1,55085,BP,transmembrane transport,
5530,,KFG80121.1,16021,CC,integral component of membrane,
5530,,KFG80121.1,4535,MF,poly(A)-specific ribonuclease activity,
5530,,KFG80121.1,289,BP,nuclear-transcribed mRNA poly(A) tail shortening,
5530,,KFG80121.1,31251,CC,PAN complex,
5530,,KFG80121.1,5634,CC,nucleus,
5530,,KFG80121.1,90503,BP,RNA phosphodiester bond hydrolysis,
5530,,KFG80121.1,3684,MF,damaged DNA binding,
5530,,KFG80121.1,6289,BP,nucleotide-excision repair,
5530,,KFG80121.1,15742,BP,alpha-ketoglutarate transport,
5530,,KFG80121.1,5743,CC,mitochondrial inner membrane,
5530,,KFG80121.1,6397,BP,mRNA processing,
5530,,KFG80121.1,15743,BP,malate transport,
5530,,KFG80121.1,46872,MF,metal ion binding,
5530,,KFG80122.1,3684,MF,damaged DNA binding,
5530,,KFG80122.1,6289,BP,nucleotide-excision repair,
5530,,KFG80122.1,5634,CC,nucleus,
5530,,KFG80122.1,4721,MF,phosphoprotein phosphatase activity,
5530,,KFG80122.1,3697,MF,single-stranded DNA binding,
5530,,KFG80122.1,30015,CC,CCR4-NOT core complex,
5530,,KFG80122.1,22857,MF,transmembrane transporter activity,
5530,,KFG80122.1,1990391,CC,DNA repair complex,
5530,,KFG80122.1,46872,MF,metal ion binding,
5530,,KFG80122.1,16021,CC,integral component of membrane,
5530,,KFG80122.1,44446,CC,intracellular organelle part,
5530,,KFG80122.1,6417,BP,regulation of translation,
5530,,KFG80122.1,5737,CC,cytoplasm,
5530,,KFG80122.1,6470,BP,protein dephosphorylation,
5530,,KFG80122.1,6298,BP,mismatch repair,
5530,,KFG80122.1,55085,BP,transmembrane transport,
5530,,KFG80123.1,42626,MF,ATPase-coupled transmembrane transporter activity,
5530,,KFG80123.1,55085,BP,transmembrane transport,
5530,,KFG80123.1,16021,CC,integral component of membrane,
5530,,KFG80123.1,16887,MF,ATPase activity,
5530,,KFG80123.1,6869,BP,lipid transport,
5530,,KFG80123.1,5643,CC,nuclear pore,
5530,,KFG80123.1,6913,BP,nucleocytoplasmic transport,
5530,,KFG80123.1,6508,BP,proteolysis,
5530,,KFG80123.1,5524,MF,ATP binding,
5530,,KFG80123.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG80123.1,4197,MF,cysteine-type endopeptidase activity,
5530,,KFG80123.1,5319,MF,lipid transporter activity,
5530,,KFG80123.1,17056,MF,structural constituent of nuclear pore,
5530,,KFG80123.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG80123.1,8270,MF,zinc ion binding,
5530,,KFG80124.1,9584,BP,detection of visible light,
5530,,KFG80124.1,155,MF,phosphorelay sensor kinase activity,
5530,,KFG80124.1,16021,CC,integral component of membrane,
5530,,KFG80124.1,18298,BP,protein-chromophore linkage,
5530,,KFG80124.1,23014,BP,signal transduction by protein phosphorylation,
5530,,KFG80124.1,5524,MF,ATP binding,
5530,,KFG80124.1,160,BP,phosphorelay signal transduction system,
5530,,KFG80124.1,6355,BP,regulation of transcription,
5530,,KFG80124.1,16853,MF,isomerase activity,
5530,,KFG80126.1,5507,MF,copper ion binding,
5530,,KFG80126.1,5634,CC,nucleus,
5530,,KFG80126.1,6355,BP,regulation of transcription,
5530,,KFG80126.1,3700,MF,DNA-binding transcription factor activity,
5530,,KFG80126.1,3677,MF,DNA binding,
5530,,KFG80126.1,12505,CC,endomembrane system,
5530,,KFG80126.1,17056,MF,structural constituent of nuclear pore,
5530,,KFG80126.1,31967,CC,organelle envelope,
5530,,KFG80126.1,8270,MF,zinc ion binding,
5530,,KFG80126.1,6878,BP,cellular copper ion homeostasis,
5530,,KFG80126.1,31248,CC,protein acetyltransferase complex,
5530,,KFG80126.1,6913,BP,nucleocytoplasmic transport,
5530,,KFG80126.1,1067,MF,regulatory region nucleic acid binding,
5530,,KFG80126.1,6879,BP,cellular iron ion homeostasis,
5530,,KFG80126.1,1905368,CC,peptidase complex,
5530,,KFG80126.1,42626,MF,ATPase-coupled transmembrane transporter activity,
5530,,KFG80126.1,16887,MF,ATPase activity,
5530,,KFG80126.1,70013,CC,intracellular organelle lumen,
5530,,KFG80126.1,16021,CC,integral component of membrane,
5530,,KFG80126.1,5524,MF,ATP binding,
5530,,KFG80126.1,1903508,BP,positive regulation of nucleic acid-templated transcription,
5530,,KFG80126.1,10628,BP,positive regulation of gene expression,
5530,,KFG80126.1,16491,MF,oxidoreductase activity,
5530,,KFG80126.1,55085,BP,transmembrane transport,
5530,,KFG80126.1,55114,BP,oxidation-reduction process,
5530,,KFG80127.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG80127.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG80127.1,5634,CC,nucleus,
5530,,KFG80127.1,8270,MF,zinc ion binding,
5530,,KFG80127.1,3677,MF,DNA binding,
5530,,KFG80127.1,6351,BP,transcription,
5530,,KFG80128.1,8168,MF,methyltransferase activity,
5530,,KFG80128.1,32259,BP,methylation,
5530,,KFG80128.1,31251,CC,PAN complex,
5530,,KFG80128.1,289,BP,nuclear-transcribed mRNA poly(A) tail shortening,
5530,,KFG80128.1,4535,MF,poly(A)-specific ribonuclease activity,
5530,,KFG80128.1,90503,BP,RNA phosphodiester bond hydrolysis,
5530,,KFG80128.1,6397,BP,mRNA processing,
5530,,KFG80128.1,16021,CC,integral component of membrane,
5530,,KFG80128.1,46872,MF,metal ion binding,
5530,,KFG80128.1,4418,MF,hydroxymethylbilane synthase activity,
5530,,KFG80128.1,3676,MF,nucleic acid binding,
5530,,KFG80128.1,18160,BP,peptidyl-pyrromethane cofactor linkage,
5530,,KFG80128.1,33014,BP,tetrapyrrole biosynthetic process,
5530,,KFG80130.1,5956,CC,protein kinase CK2 complex,
5530,,KFG80130.1,19887,MF,protein kinase regulator activity,
5530,,KFG80130.1,45859,BP,regulation of protein kinase activity,
5530,,KFG80130.1,16301,MF,kinase activity,
5530,,KFG80130.1,34456,CC,UTP-C complex,
5530,,KFG80130.1,19210,MF,kinase inhibitor activity,
5530,,KFG80130.1,16773,MF,phosphotransferase activity,
5530,,KFG80130.1,140096,MF,catalytic activity,
5530,,KFG80130.1,16310,BP,phosphorylation,
5530,,KFG80130.1,6356,BP,regulation of transcription by RNA polymerase I,
5530,,KFG80130.1,5737,CC,cytoplasm,
5530,,KFG80130.1,18209,BP,peptidyl-serine modification,
5530,,KFG80130.1,33673,BP,negative regulation of kinase activity,
5530,,KFG80130.1,35690,BP,cellular response to drug,
5530,,KFG80130.1,1933,BP,negative regulation of protein phosphorylation,
5530,,KFG80130.1,6974,BP,cellular response to DNA damage stimulus,
5530,,KFG80131.1,8168,MF,methyltransferase activity,
5530,,KFG80131.1,32259,BP,methylation,
5530,,KFG80131.1,16021,CC,integral component of membrane,
5530,,KFG80131.1,288,BP,nuclear-transcribed mRNA catabolic process,
5530,,KFG80131.1,3747,MF,translation release factor activity,
5530,,KFG80131.1,6415,BP,translational termination,
5530,,KFG80131.1,3924,MF,GTPase activity,
5530,,KFG80131.1,5525,MF,GTP binding,
5530,,KFG80131.1,16706,MF,2-oxoglutarate-dependent dioxygenase activity,
5530,,KFG80131.1,55114,BP,oxidation-reduction process,
5530,,KFG80133.1,288,BP,nuclear-transcribed mRNA catabolic process,
5530,,KFG80133.1,3747,MF,translation release factor activity,
5530,,KFG80133.1,18444,CC,translation release factor complex,
5530,,KFG80133.1,5829,CC,cytosol,
5530,,KFG80133.1,6415,BP,translational termination,
5530,,KFG80133.1,3924,MF,GTPase activity,
5530,,KFG80133.1,5525,MF,GTP binding,
5530,,KFG80133.1,16021,CC,integral component of membrane,
5530,,KFG80133.1,3746,MF,translation elongation factor activity,
5530,,KFG80133.1,6414,BP,translational elongation,
5530,,KFG80133.1,2181,BP,cytoplasmic translation,
5530,,KFG80134.1,4612,MF,phosphoenolpyruvate carboxykinase (ATP) activity,
5530,,KFG80134.1,6094,BP,gluconeogenesis,
5530,,KFG80134.1,5829,CC,cytosol,
5530,,KFG80134.1,16301,MF,kinase activity,
5530,,KFG80134.1,5524,MF,ATP binding,
5530,,KFG80134.1,16021,CC,integral component of membrane,
5530,,KFG80134.1,16310,BP,phosphorylation,
5530,,KFG80134.1,16887,MF,ATPase activity,
5530,,KFG80135.1,5887,CC,integral component of plasma membrane,
5530,,KFG80135.1,55085,BP,transmembrane transport,
5530,,KFG80135.1,4672,MF,protein kinase activity,
5530,,KFG80135.1,6468,BP,protein phosphorylation,
5530,,KFG80135.1,5524,MF,ATP binding,
5530,,KFG80136.1,71949,MF,FAD binding,
5530,,KFG80136.1,55114,BP,oxidation-reduction process,
5530,,KFG80136.1,16021,CC,integral component of membrane,
5530,,KFG80136.1,4497,MF,monooxygenase activity,
5530,,KFG80137.1,16021,CC,integral component of membrane,
5530,,KFG80137.1,5840,CC,ribosome,
5530,,KFG80138.1,42254,BP,ribosome biogenesis,
5530,,KFG80138.1,5840,CC,ribosome,
5530,,KFG80138.1,3723,MF,RNA binding,
5530,,KFG80138.1,15031,BP,protein transport,
5530,,KFG80138.1,44445,CC,cytosolic part,
5530,,KFG80138.1,16072,BP,rRNA metabolic process,
5530,,KFG80138.1,10467,BP,gene expression,
5530,,KFG80138.1,44446,CC,intracellular organelle part,
5530,,KFG80138.1,16020,CC,membrane,
5530,,KFG80138.1,43043,BP,peptide biosynthetic process,
5530,,KFG80138.1,34645,BP,cellular macromolecule biosynthetic process,
5530,,KFG80138.1,44267,BP,cellular protein metabolic process,
5530,,KFG80139.1,16021,CC,integral component of membrane,
5530,,KFG80139.1,42254,BP,ribosome biogenesis,
5530,,KFG80139.1,4089,MF,carbonate dehydratase activity,
5530,,KFG80139.1,8270,MF,zinc ion binding,
5530,,KFG80139.1,1990904,CC,ribonucleoprotein complex,
5530,,KFG80140.1,4402,MF,histone acetyltransferase activity,
5530,,KFG80140.1,16573,BP,histone acetylation,
5530,,KFG80140.1,5634,CC,nucleus,
5530,,KFG80140.1,46872,MF,metal ion binding,
5530,,KFG80140.1,31248,CC,protein acetyltransferase complex,
5530,,KFG80140.1,3677,MF,DNA binding,
5530,,KFG80140.1,785,CC,chromatin,
5530,,KFG80140.1,6355,BP,regulation of transcription,
5530,,KFG80140.1,42393,MF,histone binding,
5530,,KFG80140.1,70013,CC,intracellular organelle lumen,
5530,,KFG80140.1,1903508,BP,positive regulation of nucleic acid-templated transcription,
5530,,KFG80140.1,10628,BP,positive regulation of gene expression,
5530,,KFG80140.1,1903507,BP,negative regulation of nucleic acid-templated transcription,
5530,,KFG80140.1,2000113,BP,negative regulation of cellular macromolecule biosynthetic process,
5530,,KFG80140.1,10629,BP,negative regulation of gene expression,
5530,,KFG80141.1,17056,MF,structural constituent of nuclear pore,
5530,,KFG80141.1,5643,CC,nuclear pore,
5530,,KFG80141.1,6913,BP,nucleocytoplasmic transport,
5530,,KFG80141.1,981,MF,DNA-binding transcription factor activity,
5530,,KFG80141.1,5524,MF,ATP binding,
5530,,KFG80141.1,71166,BP,ribonucleoprotein complex localization,
5530,,KFG80141.1,31503,BP,protein-containing complex localization,
5530,,KFG80141.1,51028,BP,mRNA transport,
5530,,KFG80141.1,42626,MF,ATPase-coupled transmembrane transporter activity,
5530,,KFG80141.1,8270,MF,zinc ion binding,
5530,,KFG80141.1,16021,CC,integral component of membrane,
5530,,KFG80141.1,16887,MF,ATPase activity,
5530,,KFG80141.1,6886,BP,intracellular protein transport,
5530,,KFG80141.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG80141.1,10467,BP,gene expression,
5530,,KFG80141.1,8168,MF,methyltransferase activity,
5530,,KFG80141.1,55085,BP,transmembrane transport,
5530,,KFG80141.1,32259,BP,methylation,
5530,,KFG80142.1,5509,MF,calcium ion binding,
5530,,KFG80142.1,51301,BP,cell division,
5530,,KFG80142.1,5825,CC,half bridge of spindle pole body,
5530,,KFG80142.1,70390,CC,transcription export complex 2,
5530,,KFG80142.1,30474,BP,spindle pole body duplication,
5530,,KFG80142.1,43161,BP,proteasome-mediated ubiquitin-dependent protein catabolic process,
5530,,KFG80142.1,42802,MF,identical protein binding,
5530,,KFG80142.1,43549,BP,regulation of kinase activity,
5530,,KFG80143.1,30479,CC,actin cortical patch,
5530,,KFG80143.1,7015,BP,actin filament organization,
5530,,KFG80143.1,5546,MF,phosphatidylinositol-4,
5530,,KFG80143.1,6897,BP,endocytosis,
5530,,KFG80143.1,4612,MF,phosphoenolpyruvate carboxykinase (ATP) activity,
5530,,KFG80143.1,17056,MF,structural constituent of nuclear pore,
5530,,KFG80143.1,147,BP,actin cortical patch assembly,
5530,,KFG80143.1,30276,MF,clathrin binding,
5530,,KFG80143.1,3700,MF,DNA-binding transcription factor activity,
5530,,KFG80143.1,5643,CC,nuclear pore,
5530,,KFG80143.1,16887,MF,ATPase activity,
5530,,KFG80143.1,35639,MF,purine ribonucleoside triphosphate binding,
5530,,KFG80143.1,6094,BP,gluconeogenesis,
5530,,KFG80143.1,32555,MF,purine ribonucleotide binding,
5530,,KFG80143.1,6913,BP,nucleocytoplasmic transport,
5530,,KFG80143.1,6357,BP,regulation of transcription by RNA polymerase II,
5530,,KFG80143.1,42626,MF,ATPase-coupled transmembrane transporter activity,
5530,,KFG80143.1,16021,CC,integral component of membrane,
5530,,KFG80143.1,30554,MF,adenyl nucleotide binding,
5530,,KFG80143.1,32550,MF,purine ribonucleoside binding,
5530,,KFG80143.1,8144,MF,drug binding,
5530,,KFG80143.1,19001,MF,guanyl nucleotide binding,
5530,,KFG80143.1,8270,MF,zinc ion binding,
5530,,KFG80143.1,55085,BP,transmembrane transport,
5530,,KFG80144.1,22857,MF,transmembrane transporter activity,
5530,,KFG80144.1,55085,BP,transmembrane transport,
5530,,KFG80144.1,16021,CC,integral component of membrane,
5530,,KFG80144.1,3747,MF,translation release factor activity,
5530,,KFG80144.1,5743,CC,mitochondrial inner membrane,
5530,,KFG80144.1,288,BP,nuclear-transcribed mRNA catabolic process,
5530,,KFG80144.1,6415,BP,translational termination,
5530,,KFG80144.1,3924,MF,GTPase activity,
5530,,KFG80144.1,5525,MF,GTP binding,
5530,,KFG80146.1,1990316,CC,Atg1/ULK1 kinase complex,
5530,,KFG80146.1,45,BP,autophagosome assembly,
5530,,KFG80146.1,407,CC,phagophore assembly site,
5530,,KFG80146.1,6886,BP,intracellular protein transport,
5530,,KFG80147.1,6886,BP,intracellular protein transport,
5530,,KFG80147.1,5623,CC,cell,
5530,,KFG80147.1,1902554,CC,serine/threonine protein kinase complex,
5530,,KFG80147.1,98805,CC,whole membrane,
5530,,KFG80147.1,31982,CC,vesicle,
5530,,KFG80147.1,6914,BP,autophagy,
5530,,KFG80147.1,98588,CC,bounding membrane of organelle,
5530,,KFG80147.1,31321,BP,ascospore-type prospore assembly,
5530,,KFG80147.1,32511,BP,late endosome to vacuole transport via multivesicular body sorting pathway,
5530,,KFG80147.1,43162,BP,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,
5530,,KFG80147.1,72666,BP,establishment of protein localization to vacuole,
5530,,KFG80147.1,16021,CC,integral component of membrane,
5530,,KFG80148.1,5524,MF,ATP binding,
5530,,KFG80148.1,6094,BP,gluconeogenesis,
5530,,KFG80148.1,16021,CC,integral component of membrane,
5530,,KFG80148.1,4386,MF,helicase activity,
5530,,KFG80148.1,4612,MF,phosphoenolpyruvate carboxykinase (ATP) activity,
5530,,KFG80149.1,44613,CC,nuclear pore central transport channel,
5530,,KFG80149.1,6606,BP,protein import into nucleus,
5530,,KFG80149.1,5524,MF,ATP binding,
5530,,KFG80149.1,16021,CC,integral component of membrane,
5530,,KFG80149.1,50662,MF,coenzyme binding,
5530,,KFG80149.1,3824,MF,catalytic activity,
5530,,KFG80149.1,5737,CC,cytoplasm,
5530,,KFG80150.1,19915,BP,lipid storage,
5530,,KFG80150.1,16021,CC,integral component of membrane,
5530,,KFG80150.1,16874,MF,ligase activity,
5530,,KFG80150.1,8233,MF,peptidase activity,
5530,,KFG80150.1,51301,BP,cell division,
5530,,KFG80150.1,6508,BP,proteolysis,
5530,,KFG80151.1,19915,BP,lipid storage,
5530,,KFG80151.1,5840,CC,ribosome,
5530,,KFG80151.1,8168,MF,methyltransferase activity,
5530,,KFG80151.1,32259,BP,methylation,
