id,protein_id,go_id,ontology,description,,,,
,KID62691.1,5829,CC,cytosol,,,,
,KID62691.1,5524,MF,ATP binding,,,,
,KID62691.1,5887,CC,integral component of plasma membrane,,,,
,KID62691.1,6468,BP,protein phosphorylation,,,,
,KID62691.1,4672,MF,protein kinase activity,,,,
,KID62691.1,55085,BP,transmembrane transport,,,,
,KID62692.1,6099,BP,tricarboxylic acid cycle,,,,
,KID62692.1,4775,MF,succinate-CoA ligase (ADP-forming) activity,,,,
,KID62692.1,5739,CC,mitochondrion,,,,
,KID62692.1,5524,MF,ATP binding,,,,
,KID62692.1,16998,BP,cell wall macromolecule catabolic process,,,,
,KID62692.1,9253,BP,peptidoglycan catabolic process,,,,
,KID62692.1,16021,CC,integral component of membrane,,,,
,KID62692.1,287,MF,magnesium ion binding,,,,
,KID62692.1,5975,BP,carbohydrate metabolic process,,,,
,KID62692.1,48037,MF,cofactor binding,,,,
,KID62692.1,3796,MF,lysozyme activity,,,,
,KID62692.1,16407,MF,acetyltransferase activity,,,,
,KID62692.1,16857,MF,racemase and epimerase activity,,,,
,KID62692.1,4563,MF,beta-N-acetylhexosaminidase activity,,,,
,KID62692.1,16491,MF,oxidoreductase activity,,,,
,KID62693.1,31291,BP,Ran protein signal transduction,,,,
,KID62693.1,5087,MF,Ran guanyl-nucleotide exchange factor activity,,,,
,KID62693.1,1990023,CC,mitotic spindle midzone,,,,
,KID62693.1,32888,BP,regulation of mitotic spindle elongation,,,,
,KID62693.1,790,CC,nuclear chromatin,,,,
,KID62693.1,1901673,BP,regulation of mitotic spindle assembly,,,,
,KID62693.1,46827,BP,positive regulation of protein export from nucleus,,,,
,KID62693.1,7096,BP,regulation of exit from mitosis,,,,
,KID62693.1,70003,MF,threonine-type peptidase activity,,,,
,KID62693.1,71949,MF,FAD binding,,,,
,KID62693.1,10972,BP,negative regulation of G2/M transition of mitotic cell cycle,,,,
,KID62693.1,4175,MF,endopeptidase activity,,,,
,KID62693.1,16491,MF,oxidoreductase activity,,,,
,KID62693.1,19773,CC,proteasome core complex,,,,
,KID62693.1,6407,BP,rRNA export from nucleus,,,,
,KID62693.1,5737,CC,cytoplasm,,,,
,KID62693.1,16021,CC,integral component of membrane,,,,
,KID62693.1,16973,BP,poly(A)+ mRNA export from nucleus,,,,
,KID62693.1,54,BP,ribosomal subunit export from nucleus,,,,
,KID62693.1,6511,BP,ubiquitin-dependent protein catabolic process,,,,
,KID62693.1,55114,BP,oxidation-reduction process,,,,
,KID62695.1,3796,MF,lysozyme activity,,,,
,KID62695.1,16998,BP,cell wall macromolecule catabolic process,,,,
,KID62695.1,5615,CC,extracellular space,,,,
,KID62695.1,9253,BP,peptidoglycan catabolic process,,,,
,KID62695.1,16021,CC,integral component of membrane,,,,
,KID62695.1,16491,MF,oxidoreductase activity,,,,
,KID62695.1,3723,MF,RNA binding,,,,
,KID62695.1,42742,BP,defense response to bacterium,,,,
,KID62695.1,19835,BP,cytolysis,,,,
,KID62695.1,44275,BP,cellular carbohydrate catabolic process,,,,
,KID62695.1,55114,BP,oxidation-reduction process,,,,
,KID62696.1,5887,CC,integral component of plasma membrane,,,,
,KID62696.1,55085,BP,transmembrane transport,,,,
,KID62696.1,71949,MF,FAD binding,,,,
,KID62696.1,16491,MF,oxidoreductase activity,,,,
,KID62696.1,55114,BP,oxidation-reduction process,,,,
,KID62696.1,71627,CC,integral component of fungal-type vacuolar membrane,,,,
,KID62697.1,16787,MF,hydrolase activity,,,,
,KID62697.1,35494,BP,SNARE complex disassembly,,,,
,KID62697.1,5887,CC,integral component of plasma membrane,,,,
,KID62697.1,16311,BP,dephosphorylation,,,,
,KID62697.1,55085,BP,transmembrane transport,,,,
,KID62697.1,5737,CC,cytoplasm,,,,
,KID62697.1,5524,MF,ATP binding,,,,
,KID62697.1,46872,MF,metal ion binding,,,,
,KID62699.1,8171,MF,O-methyltransferase activity,,,,
,KID62699.1,32259,BP,methylation,,,,
,KID62699.1,16021,CC,integral component of membrane,,,,
,KID62699.1,16125,BP,sterol metabolic process,,,,
,KID62699.1,71949,MF,FAD binding,,,,
,KID62699.1,47750,MF,cholestenol delta-isomerase activity,,,,
,KID62699.1,46983,MF,protein dimerization activity,,,,
,KID62699.1,16787,MF,hydrolase activity,,,,
,KID62700.1,16740,MF,transferase activity,,,,
,KID62700.1,16021,CC,integral component of membrane,,,,
,KID62701.1,16021,CC,integral component of membrane,,,,
,KID62702.1,4672,MF,protein kinase activity,,,,
,KID62702.1,6468,BP,protein phosphorylation,,,,
,KID62702.1,5524,MF,ATP binding,,,,
,KID62702.1,6508,BP,proteolysis,,,,
,KID62702.1,4177,MF,aminopeptidase activity,,,,
,KID62703.1,16810,MF,hydrolase activity,,,,
,KID62703.1,16021,CC,integral component of membrane,,,,
,KID62704.1,8270,MF,zinc ion binding,,,,
,KID62704.1,6412,BP,translation,,,,
,KID62704.1,5840,CC,ribosome,,,,
,KID62704.1,3676,MF,nucleic acid binding,,,,
,KID62704.1,3735,MF,structural constituent of ribosome,,,,
,KID62704.1,5634,CC,nucleus,,,,
,KID62704.1,1227,MF,DNA-binding transcription repressor activity,,,,
,KID62704.1,4175,MF,endopeptidase activity,,,,
,KID62704.1,17053,CC,transcriptional repressor complex,,,,
,KID62704.1,1990391,CC,DNA repair complex,,,,
,KID62704.1,16021,CC,integral component of membrane,,,,
,KID62704.1,15074,BP,DNA integration,,,,
,KID62704.1,16849,MF,phosphorus-oxygen lyase activity,,,,
,KID62704.1,5886,CC,plasma membrane,,,,
,KID62704.1,70933,BP,histone H4 deacetylation,,,,
,KID62704.1,70001,MF,aspartic-type peptidase activity,,,,
,KID62704.1,19829,MF,ATPase-coupled cation transmembrane transporter activity,,,,
,KID62704.1,46856,BP,phosphatidylinositol dephosphorylation,,,,
,KID62704.1,166,MF,nucleotide binding,,,,
,KID62704.1,8237,MF,metallopeptidase activity,,,,
,KID62704.1,122,BP,negative regulation of transcription by RNA polymerase II,,,,
,KID62704.1,35639,MF,purine ribonucleoside triphosphate binding,,,,
,KID62704.1,9190,BP,cyclic nucleotide biosynthetic process,,,,
,KID62704.1,8144,MF,drug binding,,,,
,KID62704.1,6508,BP,proteolysis,,,,
,KID62704.1,97367,MF,carbohydrate derivative binding,,,,
,KID62704.1,16491,MF,oxidoreductase activity,,,,
,KID62704.1,35556,BP,intracellular signal transduction,,,,
,KID62704.1,98655,BP,cation transmembrane transport,,,,
,KID62704.1,55114,BP,oxidation-reduction process,,,,
,KID62706.1,30008,CC,TRAPP complex,,,,
,KID62706.1,48193,BP,Golgi vesicle transport,,,,
,KID62706.1,5794,CC,Golgi apparatus,,,,
,KID62706.1,5783,CC,endoplasmic reticulum,,,,
,KID62707.1,16021,CC,integral component of membrane,,,,
,KID62710.1,981,MF,DNA-binding transcription factor activity,,,,
,KID62710.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID62710.1,5634,CC,nucleus,,,,
,KID62710.1,8270,MF,zinc ion binding,,,,
,KID62710.1,3677,MF,DNA binding,,,,
,KID62711.1,43386,BP,mycotoxin biosynthetic process,,,,
,KID62711.1,16021,CC,integral component of membrane,,,,
,KID62712.1,42626,MF,ATPase-coupled transmembrane transporter activity,,,,
,KID62712.1,55085,BP,transmembrane transport,,,,
,KID62712.1,16021,CC,integral component of membrane,,,,
,KID62712.1,16887,MF,ATPase activity,,,,
,KID62712.1,5524,MF,ATP binding,,,,
,KID62713.1,19441,BP,tryptophan catabolic process to kynurenine,,,,
,KID62713.1,51213,MF,dioxygenase activity,,,,
,KID62713.1,5737,CC,cytoplasm,,,,
,KID62713.1,20037,MF,heme binding,,,,
,KID62713.1,46872,MF,metal ion binding,,,,
,KID62713.1,16701,MF,oxidoreductase activity,,,,
,KID62713.1,3676,MF,nucleic acid binding,,,,
,KID62713.1,55114,BP,oxidation-reduction process,,,,
,KID62713.1,34354,BP,'de novo' NAD biosynthetic process from tryptophan,,,,
,KID62714.1,15031,BP,protein transport,,,,
,KID62714.1,6464,BP,cellular protein modification process,,,,
,KID62715.1,4932,MF,mating-type factor pheromone receptor activity,,,,
,KID62715.1,7186,BP,G protein-coupled receptor signaling pathway,,,,
,KID62715.1,16021,CC,integral component of membrane,,,,
,KID62718.1,4672,MF,protein kinase activity,,,,
,KID62718.1,6468,BP,protein phosphorylation,,,,
,KID62718.1,5675,CC,transcription factor TFIIH holo complex,,,,
,KID62718.1,5524,MF,ATP binding,,,,
,KID62718.1,55085,BP,transmembrane transport,,,,
,KID62718.1,5887,CC,integral component of plasma membrane,,,,
,KID62719.1,5887,CC,integral component of plasma membrane,,,,
,KID62719.1,55085,BP,transmembrane transport,,,,
,KID62719.1,22857,MF,transmembrane transporter activity,,,,
,KID62720.1,18820,MF,cyanamide hydratase activity,,,,
,KID62720.1,5887,CC,integral component of plasma membrane,,,,
,KID62720.1,55085,BP,transmembrane transport,,,,
,KID62720.1,3676,MF,nucleic acid binding,,,,
,KID62721.1,3899,MF,DNA-directed 5'-3' RNA polymerase activity,,,,
,KID62721.1,6351,BP,transcription,,,,
,KID62721.1,5665,CC,RNA polymerase II,,,,
,KID62721.1,32549,MF,ribonucleoside binding,,,,
,KID62721.1,31618,CC,nuclear pericentric heterochromatin,,,,
,KID62721.1,3677,MF,DNA binding,,,,
,KID62721.1,3968,MF,RNA-directed 5'-3' RNA polymerase activity,,,,
,KID62721.1,3723,MF,RNA binding,,,,
,KID62721.1,10494,CC,cytoplasmic stress granule,,,,
,KID62721.1,31048,BP,chromatin silencing by small RNA,,,,
,KID62721.1,1172,BP,transcription,,,,
,KID62722.1,16021,CC,integral component of membrane,,,,
,KID62723.1,16471,CC,vacuolar proton-transporting V-type ATPase complex,,,,
,KID62723.1,42626,MF,ATPase-coupled transmembrane transporter activity,,,,
,KID62723.1,1902600,BP,proton transmembrane transport,,,,
,KID62723.1,9678,MF,pyrophosphate hydrolysis-driven proton transmembrane transporter activity,,,,
,KID62723.1,16787,MF,hydrolase activity,,,,
,KID62724.1,5681,CC,spliceosomal complex,,,,
,KID62724.1,3899,MF,DNA-directed 5'-3' RNA polymerase activity,,,,
,KID62724.1,32774,BP,RNA biosynthetic process,,,,
,KID62725.1,45727,BP,positive regulation of translation,,,,
,KID62725.1,5759,CC,mitochondrial matrix,,,,
,KID62725.1,43022,MF,ribosome binding,,,,
,KID62725.1,3924,MF,GTPase activity,,,,
,KID62725.1,5525,MF,GTP binding,,,,
,KID62725.1,5743,CC,mitochondrial inner membrane,,,,
,KID62725.1,6412,BP,translation,,,,
,KID62725.1,3746,MF,translation elongation factor activity,,,,
,KID62725.1,3677,MF,DNA binding,,,,
,KID62725.1,6313,BP,transposition,,,,
,KID62725.1,15074,BP,DNA integration,,,,
,KID62726.1,45727,BP,positive regulation of translation,,,,
,KID62726.1,5759,CC,mitochondrial matrix,,,,
,KID62726.1,43022,MF,ribosome binding,,,,
,KID62726.1,3924,MF,GTPase activity,,,,
,KID62726.1,5525,MF,GTP binding,,,,
,KID62726.1,5743,CC,mitochondrial inner membrane,,,,
,KID62726.1,6412,BP,translation,,,,
,KID62726.1,3746,MF,translation elongation factor activity,,,,
,KID62727.1,3824,MF,catalytic activity,,,,
,KID62728.1,16787,MF,hydrolase activity,,,,
,KID62729.1,3899,MF,DNA-directed 5'-3' RNA polymerase activity,,,,
,KID62729.1,6351,BP,transcription,,,,
,KID62729.1,5759,CC,mitochondrial matrix,,,,
,KID62729.1,45727,BP,positive regulation of translation,,,,
,KID62729.1,5743,CC,mitochondrial inner membrane,,,,
,KID62729.1,43022,MF,ribosome binding,,,,
,KID62729.1,16787,MF,hydrolase activity,,,,
,KID62729.1,3677,MF,DNA binding,,,,
,KID62729.1,46872,MF,metal ion binding,,,,
,KID62729.1,5525,MF,GTP binding,,,,
,KID62729.1,3743,MF,translation initiation factor activity,,,,
,KID62729.1,6412,BP,translation,,,,
,KID62730.1,16798,MF,hydrolase activity,,,,
,KID62730.1,8152,BP,metabolic process,,,,
,KID62732.1,16021,CC,integral component of membrane,,,,
,KID62733.1,723,BP,telomere maintenance,,,,
,KID62733.1,3678,MF,DNA helicase activity,,,,
,KID62733.1,5657,CC,replication fork,,,,
,KID62733.1,32508,BP,DNA duplex unwinding,,,,
,KID62733.1,31931,CC,TORC1 complex,,,,
,KID62733.1,6310,BP,DNA recombination,,,,
,KID62733.1,6281,BP,DNA repair,,,,
,KID62733.1,5524,MF,ATP binding,,,,
,KID62733.1,16021,CC,integral component of membrane,,,,
,KID62733.1,46872,MF,metal ion binding,,,,
,KID62733.1,4523,MF,RNA-DNA hybrid ribonuclease activity,,,,
,KID62733.1,6260,BP,DNA replication,,,,
,KID62733.1,31929,BP,TOR signaling,,,,
,KID62733.1,90502,BP,RNA phosphodiester bond hydrolysis,,,,
,KID62733.1,16491,MF,oxidoreductase activity,,,,
,KID62733.1,3676,MF,nucleic acid binding,,,,
,KID62733.1,55114,BP,oxidation-reduction process,,,,
,KID62734.1,31505,BP,fungal-type cell wall organization,,,,
,KID62734.1,5199,MF,structural constituent of cell wall,,,,
,KID62734.1,5576,CC,extracellular region,,,,
,KID62734.1,5581,CC,collagen trimer,,,,
,KID62734.1,8658,MF,penicillin binding,,,,
,KID62734.1,16021,CC,integral component of membrane,,,,
,KID62734.1,5634,CC,nucleus,,,,
,KID62734.1,30446,CC,hyphal cell wall,,,,
,KID62734.1,3993,MF,acid phosphatase activity,,,,
,KID62734.1,16311,BP,dephosphorylation,,,,
,KID62734.1,10494,CC,cytoplasmic stress granule,,,,
,KID62734.1,30274,MF,LIM domain binding,,,,
,KID62734.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID62734.1,16973,BP,poly(A)+ mRNA export from nucleus,,,,
,KID62734.1,30448,BP,hyphal growth,,,,
,KID62734.1,3712,MF,transcription coregulator activity,,,,
,KID62734.1,5975,BP,carbohydrate metabolic process,,,,
,KID62734.1,5201,MF,extracellular matrix structural constituent,,,,
,KID62734.1,16740,MF,transferase activity,,,,
,KID62734.1,42302,MF,structural constituent of cuticle,,,,
,KID62734.1,4553,MF,hydrolase activity,,,,
,KID62734.1,30014,CC,CCR4-NOT complex,,,,
,KID62734.1,30246,MF,carbohydrate binding,,,,
,KID62734.1,15627,CC,type II protein secretion system complex,,,,
,KID62734.1,5840,CC,ribosome,,,,
,KID62734.1,45230,BP,capsule organization,,,,
,KID62734.1,46872,MF,metal ion binding,,,,
,KID62734.1,8081,MF,phosphoric diester hydrolase activity,,,,
,KID62734.1,3777,MF,microtubule motor activity,,,,
,KID62734.1,8017,MF,microtubule binding,,,,
,KID62734.1,8134,MF,transcription factor binding,,,,
,KID62734.1,4535,MF,poly(A)-specific ribonuclease activity,,,,
,KID62734.1,3676,MF,nucleic acid binding,,,,
,KID62734.1,5524,MF,ATP binding,,,,
,KID62734.1,9612,BP,response to mechanical stimulus,,,,
,KID62734.1,44781,BP,bacterial-type flagellum organization,,,,
,KID62734.1,7018,BP,microtubule-based movement,,,,
,KID62734.1,1501,BP,skeletal system development,,,,
,KID62734.1,6629,BP,lipid metabolic process,,,,
,KID62734.1,1901575,BP,organic substance catabolic process,,,,
,KID62734.1,140096,MF,catalytic activity,,,,
,KID62734.1,16539,BP,intein-mediated protein splicing,,,,
,KID62734.1,15628,BP,protein secretion by the type II secretion system,,,,
,KID62734.1,90503,BP,RNA phosphodiester bond hydrolysis,,,,
,KID62734.1,6952,BP,defense response,,,,
,KID62734.1,6468,BP,protein phosphorylation,,,,
,KID62735.1,5506,MF,iron ion binding,,,,
,KID62735.1,8610,BP,lipid biosynthetic process,,,,
,KID62735.1,16021,CC,integral component of membrane,,,,
,KID62735.1,16491,MF,oxidoreductase activity,,,,
,KID62735.1,55114,BP,oxidation-reduction process,,,,
,KID62735.1,5789,CC,endoplasmic reticulum membrane,,,,
,KID62736.1,16787,MF,hydrolase activity,,,,
,KID62736.1,6508,BP,proteolysis,,,,
,KID62736.1,5634,CC,nucleus,,,,
,KID62736.1,140096,MF,catalytic activity,,,,
,KID62736.1,16021,CC,integral component of membrane,,,,
,KID62736.1,16042,BP,lipid catabolic process,,,,
,KID62736.1,6351,BP,transcription,,,,
,KID62736.1,16746,MF,transferase activity,,,,
,KID62736.1,71949,MF,FAD binding,,,,
,KID62736.1,8270,MF,zinc ion binding,,,,
,KID62736.1,3677,MF,DNA binding,,,,
,KID62737.1,981,MF,DNA-binding transcription factor activity,,,,
,KID62737.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID62737.1,5634,CC,nucleus,,,,
,KID62737.1,8270,MF,zinc ion binding,,,,
,KID62738.1,3676,MF,nucleic acid binding,,,,
,KID62739.1,981,MF,DNA-binding transcription factor activity,,,,
,KID62739.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID62739.1,5634,CC,nucleus,,,,
,KID62739.1,8270,MF,zinc ion binding,,,,
,KID62740.1,16787,MF,hydrolase activity,,,,
,KID62740.1,55114,BP,oxidation-reduction process,,,,
,KID62740.1,5887,CC,integral component of plasma membrane,,,,
,KID62740.1,55085,BP,transmembrane transport,,,,
,KID62740.1,43531,MF,ADP binding,,,,
,KID62740.1,16491,MF,oxidoreductase activity,,,,
,KID62740.1,5524,MF,ATP binding,,,,
,KID62742.1,5840,CC,ribosome,,,,
,KID62742.1,8270,MF,zinc ion binding,,,,
,KID62744.1,5737,CC,cytoplasm,,,,
,KID62746.1,3723,MF,RNA binding,,,,
,KID62747.1,3723,MF,RNA binding,,,,
,KID62747.1,5737,CC,cytoplasm,,,,
,KID62747.1,2188,BP,translation reinitiation,,,,
,KID62747.1,1731,BP,formation of translation preinitiation complex,,,,
,KID62747.1,44446,CC,intracellular organelle part,,,,
,KID62747.1,1990904,CC,ribonucleoprotein complex,,,,
,KID62747.1,43232,CC,intracellular non-membrane-bounded organelle,,,,
,KID62747.1,16021,CC,integral component of membrane,,,,
,KID62748.1,8236,MF,serine-type peptidase activity,,,,
,KID62748.1,6508,BP,proteolysis,,,,
,KID62748.1,5783,CC,endoplasmic reticulum,,,,
,KID62748.1,42175,CC,nuclear outer membrane-endoplasmic reticulum membrane network,,,,
,KID62748.1,31090,CC,organelle membrane,,,,
,KID62748.1,8238,MF,exopeptidase activity,,,,
,KID62748.1,7029,BP,endoplasmic reticulum organization,,,,
,KID62748.1,50794,BP,regulation of cellular process,,,,
,KID62748.1,44446,CC,intracellular organelle part,,,,
,KID62748.1,3924,MF,GTPase activity,,,,
,KID62748.1,5525,MF,GTP binding,,,,
,KID62748.1,5634,CC,nucleus,,,,
,KID62748.1,6414,BP,translational elongation,,,,
,KID62748.1,16021,CC,integral component of membrane,,,,
,KID62748.1,981,MF,DNA-binding transcription factor activity,,,,
,KID62748.1,19725,BP,cellular homeostasis,,,,
,KID62748.1,6468,BP,protein phosphorylation,,,,
,KID62748.1,3746,MF,translation elongation factor activity,,,,
,KID62748.1,155,MF,phosphorelay sensor kinase activity,,,,
,KID62748.1,23052,BP,signaling,,,,
,KID62748.1,7154,BP,cell communication,,,,
,KID62748.1,4175,MF,endopeptidase activity,,,,
,KID62748.1,8270,MF,zinc ion binding,,,,
,KID62748.1,10556,BP,regulation of macromolecule biosynthetic process,,,,
,KID62748.1,51171,BP,regulation of nitrogen compound metabolic process,,,,
,KID62748.1,16853,MF,isomerase activity,,,,
,KID62748.1,80090,BP,regulation of primary metabolic process,,,,
,KID62748.1,10468,BP,regulation of gene expression,,,,
,KID62748.1,51716,BP,cellular response to stimulus,,,,
,KID62749.1,8660,MF,1-aminocyclopropane-1-carboxylate deaminase activity,,,,
,KID62749.1,9310,BP,amine catabolic process,,,,
,KID62749.1,5634,CC,nucleus,,,,
,KID62749.1,30170,MF,pyridoxal phosphate binding,,,,
,KID62749.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID62749.1,16021,CC,integral component of membrane,,,,
,KID62749.1,6351,BP,transcription,,,,
,KID62749.1,19148,MF,D-cysteine desulfhydrase activity,,,,
,KID62749.1,981,MF,DNA-binding transcription factor activity,,,,
,KID62749.1,8270,MF,zinc ion binding,,,,
,KID62749.1,3677,MF,DNA binding,,,,
,KID62750.1,16628,MF,oxidoreductase activity,,,,
,KID62750.1,55114,BP,oxidation-reduction process,,,,
,KID62750.1,16021,CC,integral component of membrane,,,,
,KID62751.1,4672,MF,protein kinase activity,,,,
,KID62751.1,6468,BP,protein phosphorylation,,,,
,KID62751.1,5634,CC,nucleus,,,,
,KID62751.1,5524,MF,ATP binding,,,,
,KID62751.1,16021,CC,integral component of membrane,,,,
,KID62751.1,5737,CC,cytoplasm,,,,
,KID62751.1,17148,BP,negative regulation of translation,,,,
,KID62751.1,3682,MF,chromatin binding,,,,
,KID62751.1,4540,MF,ribonuclease activity,,,,
,KID62751.1,90501,BP,RNA phosphodiester bond hydrolysis,,,,
,KID62751.1,4185,MF,serine-type carboxypeptidase activity,,,,
,KID62751.1,9039,MF,urease activity,,,,
,KID62751.1,3723,MF,RNA binding,,,,
,KID62751.1,16151,MF,nickel cation binding,,,,
,KID62751.1,43419,BP,urea catabolic process,,,,
,KID62751.1,6508,BP,proteolysis,,,,
,KID62751.1,35556,BP,intracellular signal transduction,,,,
,KID62753.1,5887,CC,integral component of plasma membrane,,,,
,KID62753.1,55085,BP,transmembrane transport,,,,
,KID62753.1,22857,MF,transmembrane transporter activity,,,,
,KID62755.1,16787,MF,hydrolase activity,,,,
,KID62756.1,5887,CC,integral component of plasma membrane,,,,
,KID62756.1,55085,BP,transmembrane transport,,,,
,KID62757.1,8410,MF,CoA-transferase activity,,,,
,KID62757.1,43386,BP,mycotoxin biosynthetic process,,,,
,KID62757.1,5634,CC,nucleus,,,,
,KID62757.1,8111,MF,alpha-methylacyl-CoA racemase activity,,,,
,KID62757.1,981,MF,DNA-binding transcription factor activity,,,,
,KID62757.1,6357,BP,regulation of transcription by RNA polymerase II,,,,
,KID62757.1,16810,MF,hydrolase activity,,,,
,KID62757.1,6351,BP,transcription,,,,
,KID62757.1,8270,MF,zinc ion binding,,,,
,KID62757.1,3677,MF,DNA binding,,,,
,KID62758.1,3984,MF,acetolactate synthase activity,,,,
,KID62758.1,9099,BP,valine biosynthetic process,,,,
,KID62758.1,16021,CC,integral component of membrane,,,,
,KID62758.1,30976,MF,thiamine pyrophosphate binding,,,,
,KID62758.1,9097,BP,isoleucine biosynthetic process,,,,
,KID62758.1,50660,MF,flavin adenine dinucleotide binding,,,,
,KID62758.1,287,MF,magnesium ion binding,,,,
,KID62759.1,3676,MF,nucleic acid binding,,,,
,KID62760.1,50662,MF,coenzyme binding,,,,
,KID62760.1,6694,BP,steroid biosynthetic process,,,,
,KID62760.1,3854,MF,3-beta-hydroxy-delta5-steroid dehydrogenase activity,,,,
,KID62760.1,55114,BP,oxidation-reduction process,,,,
,KID62761.1,3676,MF,nucleic acid binding,,,,
,KID62762.1,4335,MF,galactokinase activity,,,,
,KID62762.1,6012,BP,galactose metabolic process,,,,
,KID62762.1,5737,CC,cytoplasm,,,,
,KID62762.1,5534,MF,galactose binding,,,,
,KID62762.1,46835,BP,carbohydrate phosphorylation,,,,
,KID62762.1,42729,CC,DASH complex,,,,
,KID62762.1,5524,MF,ATP binding,,,,
,KID62762.1,72686,CC,mitotic spindle,,,,
,KID62762.1,19320,BP,hexose catabolic process,,,,
,KID62762.1,1990904,CC,ribonucleoprotein complex,,,,
,KID62762.1,6355,BP,regulation of transcription,,,,
,KID62762.1,278,BP,mitotic cell cycle,,,,
,KID62762.1,43565,MF,sequence-specific DNA binding,,,,
,KID62762.1,3700,MF,DNA-binding transcription factor activity,,,,
,KID62762.1,16491,MF,oxidoreductase activity,,,,
,KID62762.1,55114,BP,oxidation-reduction process,,,,
,KID62762.1,16021,CC,integral component of membrane,,,,
,KID62764.1,16021,CC,integral component of membrane,,,,
,KID62765.1,8270,MF,zinc ion binding,,,,
,KID62765.1,16021,CC,integral component of membrane,,,,
,KID62765.1,6810,BP,transport,,,,
,KID62765.1,31226,CC,intrinsic component of plasma membrane,,,,
,KID62765.1,34613,BP,cellular protein localization,,,,
,KID62765.1,8536,MF,Ran GTPase binding,,,,
,KID62765.1,51649,BP,establishment of localization in cell,,,,
,KID62765.1,5634,CC,nucleus,,,,
,KID62765.1,45184,BP,establishment of protein localization,,,,
,KID62765.1,16491,MF,oxidoreductase activity,,,,
,KID62765.1,55114,BP,oxidation-reduction process,,,,
,KID62766.1,72380,CC,TRC complex,,,,
,KID62766.1,6620,BP,posttranslational protein targeting to endoplasmic reticulum membrane,,,,
,KID62766.1,60090,MF,molecular adaptor activity,,,,
,KID62766.1,9408,BP,response to heat,,,,
,KID62766.1,8270,MF,zinc ion binding,,,,
,KID62766.1,8536,MF,Ran GTPase binding,,,,
,KID62766.1,4618,MF,phosphoglycerate kinase activity,,,,
,KID62766.1,4636,MF,phosphoribosyl-ATP diphosphatase activity,,,,
,KID62766.1,5634,CC,nucleus,,,,
,KID62766.1,4635,MF,phosphoribosyl-AMP cyclohydrolase activity,,,,
,KID62766.1,4399,MF,histidinol dehydrogenase activity,,,,
,KID62766.1,16021,CC,integral component of membrane,,,,
,KID62766.1,5525,MF,GTP binding,,,,
,KID62766.1,51287,MF,NAD binding,,,,
,KID62766.1,1903646,BP,positive regulation of chaperone-mediated protein folding,,,,
,KID62766.1,6096,BP,glycolytic process,,,,
,KID62766.1,105,BP,histidine biosynthetic process,,,,
,KID62766.1,30433,BP,ubiquitin-dependent ERAD pathway,,,,
,KID62766.1,55114,BP,oxidation-reduction process,,,,
,KID62767.1,42626,MF,ATPase-coupled transmembrane transporter activity,,,,
,KID62767.1,55085,BP,transmembrane transport,,,,
,KID62767.1,16021,CC,integral component of membrane,,,,
,KID62767.1,16887,MF,ATPase activity,,,,
,KID62767.1,5774,CC,vacuolar membrane,,,,
,KID62767.1,5524,MF,ATP binding,,,,
,KID62768.1,50113,MF,inositol oxygenase activity,,,,
,KID62768.1,19310,BP,inositol catabolic process,,,,
,KID62768.1,5737,CC,cytoplasm,,,,
,KID62768.1,5506,MF,iron ion binding,,,,
,KID62768.1,55114,BP,oxidation-reduction process,,,,
,KID62769.1,30906,CC,retromer,,,,
,KID62769.1,42147,BP,retrograde transport,,,,
,KID62769.1,5829,CC,cytosol,,,,
,KID62769.1,15031,BP,protein transport,,,,
,KID62769.1,5768,CC,endosome,,,,
,KID62769.1,30437,BP,ascospore formation,,,,
,KID62769.1,34613,BP,cellular protein localization,,,,
,KID62770.1,4180,MF,carboxypeptidase activity,,,,
,KID62770.1,6508,BP,proteolysis,,,,
,KID62770.1,16021,CC,integral component of membrane,,,,
,KID62770.1,30906,CC,retromer,,,,
,KID62770.1,5829,CC,cytosol,,,,
,KID62770.1,42147,BP,retrograde transport,,,,
,KID62770.1,15031,BP,protein transport,,,,
,KID62771.1,16021,CC,integral component of membrane,,,,
,KID62771.1,5525,MF,GTP binding,,,,
,KID62771.1,5737,CC,cytoplasm,,,,
,KID62771.1,16887,MF,ATPase activity,,,,
,KID62772.1,43023,MF,ribosomal large subunit binding,,,,
,KID62772.1,5737,CC,cytoplasm,,,,
,KID62772.1,55085,BP,transmembrane transport,,,,
,KID62772.1,43022,MF,ribosome binding,,,,
,KID62772.1,5525,MF,GTP binding,,,,
,KID62772.1,5887,CC,integral component of plasma membrane,,,,
,KID62772.1,16887,MF,ATPase activity,,,,
,KID62772.1,5524,MF,ATP binding,,,,
,KID62774.1,3735,MF,structural constituent of ribosome,,,,
,KID62774.1,6412,BP,translation,,,,
,KID62774.1,5840,CC,ribosome,,,,
,KID62774.1,35091,MF,phosphatidylinositol binding,,,,
,KID62774.1,48027,MF,mRNA 5'-UTR binding,,,,
,KID62774.1,70181,MF,small ribosomal subunit rRNA binding,,,,
,KID62774.1,5759,CC,mitochondrial matrix,,,,
