organism	id	protein_id	go_id	ontology	description
1276135		KID62331.1	0005634	CC	nucleus
1276135		KID62331.1	0000055	BP	ribosomal large subunit export from nucleus
1276135		KID62331.1	0030687	CC	preribosome, large subunit precursor
1276135		KID62331.1	0003676	MF	nucleic acid binding
1276135		KID62331.1	0043023	MF	ribosomal large subunit binding
1276135		KID62331.1	0016021	CC	integral component of membrane
1276135		KID62331.1	0006355	BP	regulation of transcription, DNA-templated
1276135		KID62332.1	0003994	MF	aconitate hydratase activity
1276135		KID62332.1	0006099	BP	tricarboxylic acid cycle
1276135		KID62332.1	0005739	CC	mitochondrion
1276135		KID62332.1	0051539	MF	4 iron, 4 sulfur cluster binding
1276135		KID62332.1	0000002	BP	mitochondrial genome maintenance
1276135		KID62332.1	0009295	CC	nucleoid
1276135		KID62332.1	0046872	MF	metal ion binding
1276135		KID62332.1	0005829	CC	cytosol
1276135		KID62332.1	0003697	MF	single-stranded DNA binding
1276135		KID62332.1	0003690	MF	double-stranded DNA binding
1276135		KID62332.1	0070013	CC	intracellular organelle lumen
1276135		KID62332.1	0006508	BP	proteolysis
1276135		KID62332.1	0044446	CC	intracellular organelle part
1276135		KID62332.1	0004252	MF	serine-type endopeptidase activity
1276135		KID62332.1	0043232	CC	intracellular non-membrane-bounded organelle
1276135		KID62332.1	0016021	CC	integral component of membrane
1276135		KID62334.1	0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds
1276135		KID62334.1	0005975	BP	carbohydrate metabolic process
1276135		KID62334.1	0009277	CC	fungal-type cell wall
1276135		KID62334.1	0016021	CC	integral component of membrane
1276135		KID62334.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62334.1	0015936	BP	coenzyme A metabolic process
1276135		KID62334.1	0009058	BP	biosynthetic process
1276135		KID62334.1	0009986	CC	cell surface
1276135		KID62334.1	0005576	CC	extracellular region
1276135		KID62334.1	0016740	MF	transferase activity
1276135		KID62334.1	0004420	MF	hydroxymethylglutaryl-CoA reductase (NADPH) activity
1276135		KID62334.1	0055114	BP	oxidation-reduction process
1276135		KID62335.1	0042149	BP	cellular response to glucose starvation
1276135		KID62335.1	0005634	CC	nucleus
1276135		KID62335.1	0043565	MF	sequence-specific DNA binding
1276135		KID62335.1	0030071	BP	regulation of mitotic metaphase/anaphase transition
1276135		KID62335.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62335.1	0008270	MF	zinc ion binding
1276135		KID62335.1	0005737	CC	cytoplasm
1276135		KID62335.1	0016740	MF	transferase activity
1276135		KID62335.1	0006355	BP	regulation of transcription, DNA-templated
1276135		KID62335.1	0009058	BP	biosynthetic process
1276135		KID62336.1	0006606	BP	protein import into nucleus
1276135		KID62336.1	0008536	MF	Ran GTPase binding
1276135		KID62336.1	0034399	CC	nuclear periphery
1276135		KID62336.1	0008139	MF	nuclear localization sequence binding
1276135		KID62336.1	0061608	MF	nuclear import signal receptor activity
1276135		KID62336.1	0005737	CC	cytoplasm
1276135		KID62336.1	0008168	MF	methyltransferase activity
1276135		KID62336.1	0060188	BP	regulation of protein desumoylation
1276135		KID62336.1	0043565	MF	sequence-specific DNA binding
1276135		KID62336.1	0008270	MF	zinc ion binding
1276135		KID62336.1	0010389	BP	regulation of G2/M transition of mitotic cell cycle
1276135		KID62336.1	0071427	BP	mRNA-containing ribonucleoprotein complex export from nucleus
1276135		KID62336.1	0007088	BP	regulation of mitotic nuclear division
1276135		KID62336.1	0051028	BP	mRNA transport
1276135		KID62336.1	0010467	BP	gene expression
1276135		KID62336.1	0032259	BP	methylation
1276135		KID62336.1	0006355	BP	regulation of transcription, DNA-templated
1276135		KID62337.1	0043565	MF	sequence-specific DNA binding
1276135		KID62337.1	0006355	BP	regulation of transcription, DNA-templated
1276135		KID62337.1	0005634	CC	nucleus
1276135		KID62337.1	0008270	MF	zinc ion binding
1276135		KID62337.1	0009881	MF	photoreceptor activity
1276135		KID62337.1	0005515	MF	protein binding
1276135		KID62337.1	0018298	BP	protein-chromophore linkage
1276135		KID62337.1	0050896	BP	response to stimulus
1276135		KID62337.1	0006886	BP	intracellular protein transport
1276135		KID62338.1	0005780	CC	extrinsic component of intraperoxisomal membrane
1276135		KID62338.1	0045033	BP	peroxisome inheritance
1276135		KID62339.1	0003677	MF	DNA binding
1276135		KID62339.1	0051103	BP	DNA ligation involved in DNA repair
1276135		KID62339.1	0005634	CC	nucleus
1276135		KID62339.1	0003910	MF	DNA ligase (ATP) activity
1276135		KID62339.1	0006310	BP	DNA recombination
1276135		KID62339.1	0071897	BP	DNA biosynthetic process
1276135		KID62339.1	0006260	BP	DNA replication
1276135		KID62339.1	0005524	MF	ATP binding
1276135		KID62339.1	0004527	MF	exonuclease activity
1276135		KID62339.1	0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
1276135		KID62339.1	0005506	MF	iron ion binding
1276135		KID62339.1	0020037	MF	heme binding
1276135		KID62339.1	0090305	BP	nucleic acid phosphodiester bond hydrolysis
1276135		KID62339.1	0055114	BP	oxidation-reduction process
1276135		KID62340.1	0003843	MF	1,3-beta-D-glucan synthase activity
1276135		KID62340.1	0006075	BP	(1->3)-beta-D-glucan biosynthetic process
1276135		KID62340.1	0000148	CC	1,3-beta-D-glucan synthase complex
1276135		KID62340.1	0016021	CC	integral component of membrane
1276135		KID62341.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62341.1	0009058	BP	biosynthetic process
1276135		KID62341.1	0000148	CC	1,3-beta-D-glucan synthase complex
1276135		KID62341.1	0006074	BP	(1->3)-beta-D-glucan metabolic process
1276135		KID62341.1	0042765	CC	GPI-anchor transamidase complex
1276135		KID62341.1	0016740	MF	transferase activity
1276135		KID62341.1	0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds
1276135		KID62341.1	0055085	BP	transmembrane transport
1276135		KID62342.1	0042765	CC	GPI-anchor transamidase complex
1276135		KID62342.1	0004252	MF	serine-type endopeptidase activity
1276135		KID62342.1	0006508	BP	proteolysis
1276135		KID62342.1	0016255	BP	attachment of GPI anchor to protein
1276135		KID62342.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62342.1	0016740	MF	transferase activity
1276135		KID62343.1	0000502	CC	proteasome complex
1276135		KID62343.1	0043248	BP	proteasome assembly
1276135		KID62343.1	0005198	MF	structural molecule activity
1276135		KID62343.1	0006511	BP	ubiquitin-dependent protein catabolic process
1276135		KID62343.1	0005829	CC	cytosol
1276135		KID62343.1	0005634	CC	nucleus
1276135		KID62344.1	0016279	MF	protein-lysine N-methyltransferase activity
1276135		KID62344.1	0018022	BP	peptidyl-lysine methylation
1276135		KID62344.1	0005737	CC	cytoplasm
1276135		KID62344.1	0070013	CC	intracellular organelle lumen
1276135		KID62344.1	0050662	MF	coenzyme binding
1276135		KID62344.1	0070469	CC	respirasome
1276135		KID62344.1	0044446	CC	intracellular organelle part
1276135		KID62344.1	0003954	MF	NADH dehydrogenase activity
1276135		KID62344.1	0003676	MF	nucleic acid binding
1276135		KID62344.1	0043231	CC	intracellular membrane-bounded organelle
1276135		KID62344.1	1901006	BP	ubiquinone-6 biosynthetic process
1276135		KID62344.1	0016021	CC	integral component of membrane
1276135		KID62344.1	0055114	BP	oxidation-reduction process
1276135		KID62345.1	0016578	BP	histone deubiquitination
1276135		KID62345.1	0004843	MF	thiol-dependent ubiquitin-specific protease activity
1276135		KID62345.1	0006511	BP	ubiquitin-dependent protein catabolic process
1276135		KID62345.1	0008270	MF	zinc ion binding
1276135		KID62345.1	0004197	MF	cysteine-type endopeptidase activity
1276135		KID62346.1	0016817	MF	hydrolase activity, acting on acid anhydrides
1276135		KID62346.1	0018022	BP	peptidyl-lysine methylation
1276135		KID62346.1	0030126	CC	COPI vesicle coat
1276135		KID62346.1	0005524	MF	ATP binding
1276135		KID62346.1	0045003	BP	double-strand break repair via synthesis-dependent strand annealing
1276135		KID62346.1	0007131	BP	reciprocal meiotic recombination
1276135		KID62346.1	0005634	CC	nucleus
1276135		KID62346.1	0016279	MF	protein-lysine N-methyltransferase activity
1276135		KID62346.1	0016021	CC	integral component of membrane
1276135		KID62346.1	0140097	MF	catalytic activity, acting on DNA
1276135		KID62346.1	0004672	MF	protein kinase activity
1276135		KID62346.1	0005198	MF	structural molecule activity
1276135		KID62346.1	0016192	BP	vesicle-mediated transport
1276135		KID62346.1	0006886	BP	intracellular protein transport
1276135		KID62346.1	0006468	BP	protein phosphorylation
1276135		KID62347.1	0016021	CC	integral component of membrane
1276135		KID62347.1	0005783	CC	endoplasmic reticulum
1276135		KID62348.1	0008800	MF	beta-lactamase activity
1276135		KID62348.1	0017001	BP	antibiotic catabolic process
1276135		KID62348.1	0016021	CC	integral component of membrane
1276135		KID62348.1	0008270	MF	zinc ion binding
1276135		KID62348.1	0016817	MF	hydrolase activity, acting on acid anhydrides
1276135		KID62348.1	0005524	MF	ATP binding
1276135		KID62349.1	0022857	MF	transmembrane transporter activity
1276135		KID62349.1	0055085	BP	transmembrane transport
1276135		KID62349.1	0016021	CC	integral component of membrane
1276135		KID62349.1	0016787	MF	hydrolase activity
1276135		KID62350.1	0016586	CC	RSC-type complex
1276135		KID62350.1	0006338	BP	chromatin remodeling
1276135		KID62350.1	0003682	MF	chromatin binding
1276135		KID62351.1	0030433	BP	ubiquitin-dependent ERAD pathway
1276135		KID62351.1	0004843	MF	thiol-dependent ubiquitin-specific protease activity
1276135		KID62351.1	0016579	BP	protein deubiquitination
1276135		KID62352.1	0016021	CC	integral component of membrane
1276135		KID62352.1	0016811	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
1276135		KID62353.1	0005780	CC	extrinsic component of intraperoxisomal membrane
1276135		KID62353.1	0045033	BP	peroxisome inheritance
1276135		KID62353.1	0034244	BP	negative regulation of transcription elongation from RNA polymerase II promoter
1276135		KID62353.1	0032021	CC	NELF complex
1276135		KID62353.1	0016021	CC	integral component of membrane
1276135		KID62354.1	0016751	MF	S-succinyltransferase activity
1276135		KID62354.1	0045252	CC	oxoglutarate dehydrogenase complex
1276135		KID62354.1	0006099	BP	tricarboxylic acid cycle
1276135		KID62354.1	0140096	MF	catalytic activity, acting on a protein
1276135		KID62354.1	0043754	MF	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity
1276135		KID62354.1	0005524	MF	ATP binding
1276135		KID62354.1	0016021	CC	integral component of membrane
1276135		KID62357.1	0003676	MF	nucleic acid binding
1276135		KID62357.1	0000786	CC	nucleosome
1276135		KID62357.1	0008380	BP	RNA splicing
1276135		KID62357.1	0006397	BP	mRNA processing
1276135		KID62357.1	0008270	MF	zinc ion binding
1276135		KID62357.1	0046982	MF	protein heterodimerization activity
1276135		KID62357.1	0005634	CC	nucleus
1276135		KID62357.1	0005737	CC	cytoplasm
1276135		KID62358.1	0006914	BP	autophagy
1276135		KID62358.1	0008234	MF	cysteine-type peptidase activity
1276135		KID62358.1	0005634	CC	nucleus
1276135		KID62358.1	0015031	BP	protein transport
1276135		KID62358.1	0005737	CC	cytoplasm
1276135		KID62358.1	0006508	BP	proteolysis
1276135		KID62359.1	0008270	MF	zinc ion binding
1276135		KID62359.1	0003676	MF	nucleic acid binding
1276135		KID62360.1	0046872	MF	metal ion binding
1276135		KID62360.1	0006914	BP	autophagy
1276135		KID62360.1	0000786	CC	nucleosome
1276135		KID62360.1	0019346	BP	transsulfuration
1276135		KID62360.1	0003677	MF	DNA binding
1276135		KID62360.1	0046982	MF	protein heterodimerization activity
1276135		KID62360.1	0015031	BP	protein transport
1276135		KID62360.1	0005634	CC	nucleus
1276135		KID62360.1	0008234	MF	cysteine-type peptidase activity
1276135		KID62360.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62360.1	0005737	CC	cytoplasm
1276135		KID62360.1	0006508	BP	proteolysis
1276135		KID62360.1	0016021	CC	integral component of membrane
1276135		KID62361.1	0019346	BP	transsulfuration
1276135		KID62361.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62361.1	0017119	CC	Golgi transport complex
1276135		KID62361.1	0003824	MF	catalytic activity
1276135		KID62361.1	0032259	BP	methylation
1276135		KID62361.1	0006891	BP	intra-Golgi vesicle-mediated transport
1276135		KID62362.1	0019346	BP	transsulfuration
1276135		KID62362.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62362.1	0017119	CC	Golgi transport complex
1276135		KID62362.1	0008168	MF	methyltransferase activity
1276135		KID62362.1	0006891	BP	intra-Golgi vesicle-mediated transport
1276135		KID62362.1	0016021	CC	integral component of membrane
1276135		KID62362.1	0032259	BP	methylation
1276135		KID62363.1	0005880	CC	nuclear microtubule
1276135		KID62363.1	0008168	MF	methyltransferase activity
1276135		KID62363.1	0032259	BP	methylation
1276135		KID62363.1	0000472	BP	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
1276135		KID62363.1	0034399	CC	nuclear periphery
1276135		KID62363.1	0000480	BP	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
1276135		KID62363.1	0030686	CC	90S preribosome
1276135		KID62363.1	0000447	BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
1276135		KID62363.1	0032040	CC	small-subunit processome
1276135		KID62363.1	0042802	MF	identical protein binding
1276135		KID62363.1	0140102	MF	catalytic activity, acting on a rRNA
1276135		KID62363.1	0019843	MF	rRNA binding
1276135		KID62363.1	0005730	CC	nucleolus
1276135		KID62363.1	0000154	BP	rRNA modification
1276135		KID62363.1	0030170	MF	pyridoxal phosphate binding
1276135		KID62363.1	0005737	CC	cytoplasm
1276135		KID62363.1	0099023	CC	vesicle tethering complex
1276135		KID62363.1	0012505	CC	endomembrane system
1276135		KID62363.1	0044260	BP	cellular macromolecule metabolic process
1276135		KID62363.1	0016021	CC	integral component of membrane
1276135		KID62363.1	0006891	BP	intra-Golgi vesicle-mediated transport
1276135		KID62363.1	0019346	BP	transsulfuration
1276135		KID62364.1	0005524	MF	ATP binding
1276135		KID62364.1	0006891	BP	intra-Golgi vesicle-mediated transport
1276135		KID62364.1	0017119	CC	Golgi transport complex
1276135		KID62364.1	0016787	MF	hydrolase activity
1276135		KID62365.1	0006891	BP	intra-Golgi vesicle-mediated transport
1276135		KID62365.1	0017119	CC	Golgi transport complex
1276135		KID62365.1	0008168	MF	methyltransferase activity
1276135		KID62365.1	0000139	CC	Golgi membrane
1276135		KID62365.1	0005524	MF	ATP binding
1276135		KID62365.1	0015031	BP	protein transport
1276135		KID62365.1	0032259	BP	methylation
1276135		KID62366.1	0006914	BP	autophagy
1276135		KID62366.1	0030659	CC	cytoplasmic vesicle membrane
1276135		KID62366.1	0015031	BP	protein transport
1276135		KID62366.1	0005794	CC	Golgi apparatus
1276135		KID62366.1	0016021	CC	integral component of membrane
1276135		KID62366.1	0034045	CC	phagophore assembly site membrane
1276135		KID62366.1	0005789	CC	endoplasmic reticulum membrane
1276135		KID62366.1	0098588	CC	bounding membrane of organelle
1276135		KID62366.1	0031966	CC	mitochondrial membrane
1276135		KID62367.1	0022857	MF	transmembrane transporter activity
1276135		KID62367.1	0055085	BP	transmembrane transport
1276135		KID62367.1	0016021	CC	integral component of membrane
1276135		KID62367.1	0003743	MF	translation initiation factor activity
1276135		KID62367.1	0006914	BP	autophagy
1276135		KID62367.1	0030659	CC	cytoplasmic vesicle membrane
1276135		KID62367.1	0015031	BP	protein transport
1276135		KID62367.1	0005794	CC	Golgi apparatus
1276135		KID62367.1	0006413	BP	translational initiation
1276135		KID62368.1	0034975	BP	protein folding in endoplasmic reticulum
1276135		KID62368.1	0070772	CC	PAS complex
1276135		KID62368.1	0051787	MF	misfolded protein binding
1276135		KID62368.1	0006661	BP	phosphatidylinositol biosynthetic process
1276135		KID62368.1	0051087	MF	chaperone binding
1276135		KID62368.1	0016301	MF	kinase activity
1276135		KID62368.1	0016491	MF	oxidoreductase activity
1276135		KID62368.1	0003723	MF	RNA binding
1276135		KID62368.1	0005783	CC	endoplasmic reticulum
1276135		KID62368.1	0016310	BP	phosphorylation
1276135		KID62368.1	0055114	BP	oxidation-reduction process
1276135		KID62368.1	0016021	CC	integral component of membrane
1276135		KID62370.1	0070772	CC	PAS complex
1276135		KID62370.1	0006661	BP	phosphatidylinositol biosynthetic process
1276135		KID62370.1	0000306	CC	extrinsic component of vacuolar membrane
1276135		KID62370.1	0000329	CC	fungal-type vacuole membrane
1276135		KID62370.1	0010008	CC	endosome membrane
1276135		KID62370.1	0016021	CC	integral component of membrane
1276135		KID62371.1	0006629	BP	lipid metabolic process
1276135		KID62371.1	0016491	MF	oxidoreductase activity
1276135		KID62371.1	0016021	CC	integral component of membrane
1276135		KID62371.1	0055114	BP	oxidation-reduction process
1276135		KID62372.1	0004148	MF	dihydrolipoyl dehydrogenase activity
1276135		KID62372.1	0045454	BP	cell redox homeostasis
1276135		KID62372.1	0009353	CC	mitochondrial oxoglutarate dehydrogenase complex
1276135		KID62372.1	0005967	CC	mitochondrial pyruvate dehydrogenase complex
1276135		KID62372.1	0006550	BP	isoleucine catabolic process
1276135		KID62372.1	0050660	MF	flavin adenine dinucleotide binding
1276135		KID62372.1	0006552	BP	leucine catabolic process
1276135		KID62372.1	0042645	CC	mitochondrial nucleoid
1276135		KID62372.1	0009055	MF	electron transfer activity
1276135		KID62372.1	0022900	BP	electron transport chain
1276135		KID62372.1	0006574	BP	valine catabolic process
1276135		KID62372.1	0004591	MF	oxoglutarate dehydrogenase (succinyl-transferring) activity
1276135		KID62372.1	0006103	BP	2-oxoglutarate metabolic process
1276135		KID62372.1	0016642	MF	oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor
1276135		KID62372.1	0005960	CC	glycine cleavage complex
1276135		KID62372.1	0004738	MF	pyruvate dehydrogenase activity
1276135		KID62372.1	0006564	BP	L-serine biosynthetic process
1276135		KID62372.1	0042743	BP	hydrogen peroxide metabolic process
1276135		KID62372.1	0006546	BP	glycine catabolic process
1276135		KID62372.1	0003723	MF	RNA binding
1276135		KID62372.1	0006090	BP	pyruvate metabolic process
1276135		KID62372.1	0006629	BP	lipid metabolic process
1276135		KID62373.1	0003723	MF	RNA binding
1276135		KID62373.1	0045454	BP	cell redox homeostasis
1276135		KID62373.1	0005730	CC	nucleolus
1276135		KID62373.1	0004148	MF	dihydrolipoyl dehydrogenase activity
1276135		KID62373.1	0055114	BP	oxidation-reduction process
1276135		KID62373.1	0006413	BP	translational initiation
1276135		KID62373.1	0050660	MF	flavin adenine dinucleotide binding
1276135		KID62373.1	0042274	BP	ribosomal small subunit biogenesis
1276135		KID62373.1	0005737	CC	cytoplasm
1276135		KID62373.1	0090079	MF	translation regulator activity, nucleic acid binding
1276135		KID62374.1	0030942	MF	endoplasmic reticulum signal peptide binding
1276135		KID62374.1	0005786	CC	signal recognition particle, endoplasmic reticulum targeting
1276135		KID62374.1	0006614	BP	SRP-dependent cotranslational protein targeting to membrane
1276135		KID62374.1	0008312	MF	7S RNA binding
1276135		KID62375.1	0003723	MF	RNA binding
1276135		KID62375.1	2000815	BP	regulation of mRNA stability involved in response to oxidative stress
1276135		KID62375.1	0071014	CC	post-mRNA release spliceosomal complex
1276135		KID62375.1	0071028	BP	nuclear mRNA surveillance
1276135		KID62375.1	0016973	BP	poly(A)+ mRNA export from nucleus
1276135		KID62375.1	0005737	CC	cytoplasm
1276135		KID62376.1	0106068	CC	SUMO ligase complex
1276135		KID62376.1	0000724	BP	double-strand break repair via homologous recombination
1276135		KID62376.1	0016787	MF	hydrolase activity
1276135		KID62376.1	0005524	MF	ATP binding
1276135		KID62376.1	0000793	CC	condensed chromosome
1276135		KID62376.1	0044427	CC	chromosomal part
1276135		KID62376.1	0051276	BP	chromosome organization
1276135		KID62377.1	0006400	BP	tRNA modification
1276135		KID62377.1	0005634	CC	nucleus
1276135		KID62377.1	0003723	MF	RNA binding
1276135		KID62379.1	0006400	BP	tRNA modification
1276135		KID62379.1	0003723	MF	RNA binding
1276135		KID62380.1	0030976	MF	thiamine pyrophosphate binding
1276135		KID62380.1	0006400	BP	tRNA modification
1276135		KID62380.1	0016831	MF	carboxy-lyase activity
1276135		KID62380.1	0000287	MF	magnesium ion binding
1276135		KID62380.1	0055114	BP	oxidation-reduction process
1276135		KID62380.1	0016972	MF	thiol oxidase activity
1276135		KID62380.1	0003723	MF	RNA binding
1276135		KID62381.1	0016971	MF	flavin-linked sulfhydryl oxidase activity
1276135		KID62381.1	0055114	BP	oxidation-reduction process
1276135		KID62381.1	0005739	CC	mitochondrion
1276135		KID62381.1	0045041	BP	protein import into mitochondrial intermembrane space
1276135		KID62381.1	0031970	CC	organelle envelope lumen
1276135		KID62381.1	0015035	MF	protein disulfide oxidoreductase activity
1276135		KID62381.1	0050660	MF	flavin adenine dinucleotide binding
1276135		KID62381.1	0006879	BP	cellular iron ion homeostasis
1276135		KID62381.1	0034599	BP	cellular response to oxidative stress
1276135		KID62381.1	0003723	MF	RNA binding
1276135		KID62381.1	0006400	BP	tRNA modification
1276135		KID62382.1	0006780	BP	uroporphyrinogen III biosynthetic process
1276135		KID62382.1	0004852	MF	uroporphyrinogen-III synthase activity
1276135		KID62382.1	0006783	BP	heme biosynthetic process
1276135		KID62383.1	0005739	CC	mitochondrion
1276135		KID62383.1	0008168	MF	methyltransferase activity
1276135		KID62383.1	0032259	BP	methylation
1276135		KID62384.1	0004707	MF	MAP kinase activity
1276135		KID62384.1	0000165	BP	MAPK cascade
1276135		KID62384.1	0030127	CC	COPII vesicle coat
1276135		KID62384.1	0005524	MF	ATP binding
1276135		KID62384.1	0005634	CC	nucleus
1276135		KID62384.1	0008270	MF	zinc ion binding
1276135		KID62384.1	0000750	BP	pheromone-dependent signal transduction involved in conjugation with cellular fusion
1276135		KID62384.1	0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport
1276135		KID62384.1	0006886	BP	intracellular protein transport
1276135		KID62384.1	0010468	BP	regulation of gene expression
1276135		KID62385.1	0030127	CC	COPII vesicle coat
1276135		KID62385.1	0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport
1276135		KID62385.1	0008270	MF	zinc ion binding
1276135		KID62385.1	0006886	BP	intracellular protein transport
1276135		KID62385.1	0004707	MF	MAP kinase activity
1276135		KID62385.1	0005524	MF	ATP binding
1276135		KID62385.1	0000165	BP	MAPK cascade
1276135		KID62385.1	0000139	CC	Golgi membrane
1276135		KID62385.1	0005789	CC	endoplasmic reticulum membrane
1276135		KID62386.1	0016021	CC	integral component of membrane
1276135		KID62386.1	0004497	MF	monooxygenase activity
1276135		KID62386.1	0055114	BP	oxidation-reduction process
1276135		KID62386.1	0006413	BP	translational initiation
1276135		KID62386.1	0003743	MF	translation initiation factor activity
1276135		KID62387.1	0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific
1276135		KID62387.1	0006357	BP	regulation of transcription by RNA polymerase II
1276135		KID62387.1	0005634	CC	nucleus
1276135		KID62387.1	0008270	MF	zinc ion binding
1276135		KID62387.1	0003677	MF	DNA binding
1276135		KID62387.1	0016021	CC	integral component of membrane
1276135		KID62387.1	0071949	MF	FAD binding
1276135		KID62388.1	0008536	MF	Ran GTPase binding
1276135		KID62388.1	0051168	BP	nuclear export
1276135		KID62388.1	0005634	CC	nucleus
1276135		KID62388.1	0006886	BP	intracellular protein transport
1276135		KID62388.1	0042565	CC	RNA nuclear export complex
1276135		KID62388.1	0005049	MF	nuclear export signal receptor activity
1276135		KID62388.1	0005737	CC	cytoplasm
1276135		KID62388.1	0046825	BP	regulation of protein export from nucleus
1276135		KID62391.1	0008080	MF	N-acetyltransferase activity
1276135		KID62391.1	0017196	BP	N-terminal peptidyl-methionine acetylation
1276135		KID62391.1	0031417	CC	NatC complex
1276135		KID62391.1	0051168	BP	nuclear export
1276135		KID62392.1	0008374	MF	O-acyltransferase activity
1276135		KID62392.1	0006629	BP	lipid metabolic process
1276135		KID62392.1	0016021	CC	integral component of membrane
1276135		KID62392.1	0006435	BP	threonyl-tRNA aminoacylation
1276135		KID62392.1	0005737	CC	cytoplasm
1276135		KID62392.1	0046027	MF	phospholipid:diacylglycerol acyltransferase activity
1276135		KID62392.1	0004829	MF	threonine-tRNA ligase activity
1276135		KID62392.1	0003723	MF	RNA binding
1276135		KID62392.1	0005524	MF	ATP binding
1276135		KID62393.1	0008374	MF	O-acyltransferase activity
1276135		KID62393.1	0006629	BP	lipid metabolic process
1276135		KID62393.1	0031932	CC	TORC2 complex
1276135		KID62393.1	0038203	BP	TORC2 signaling
1276135		KID62393.1	0016021	CC	integral component of membrane
1276135		KID62393.1	0016197	BP	endosomal transport
1276135		KID62393.1	0005546	MF	phosphatidylinositol-4,5-bisphosphate binding
1276135		KID62393.1	0030036	BP	actin cytoskeleton organization
1276135		KID62394.1	0038203	BP	TORC2 signaling
1276135		KID62394.1	0005546	MF	phosphatidylinositol-4,5-bisphosphate binding
1276135		KID62394.1	0031932	CC	TORC2 complex
1276135		KID62394.1	0016197	BP	endosomal transport
1276135		KID62394.1	0030036	BP	actin cytoskeleton organization
1276135		KID62395.1	0006659	BP	phosphatidylserine biosynthetic process
1276135		KID62395.1	0003882	MF	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
1276135		KID62395.1	0005783	CC	endoplasmic reticulum
1276135		KID62395.1	0006646	BP	phosphatidylethanolamine biosynthetic process
1276135		KID62395.1	0071949	MF	FAD binding
1276135		KID62395.1	0042175	CC	nuclear outer membrane-endoplasmic reticulum membrane network
1276135		KID62395.1	0016491	MF	oxidoreductase activity
1276135		KID62395.1	0031090	CC	organelle membrane
1276135		KID62395.1	0016021	CC	integral component of membrane
1276135		KID62395.1	1903068	BP	positive regulation of protein localization to cell tip
1276135		KID62395.1	0044446	CC	intracellular organelle part
1276135		KID62395.1	0010512	BP	negative regulation of phosphatidylinositol biosynthetic process
1276135		KID62395.1	0070317	BP	negative regulation of G0 to G1 transition
1276135		KID62395.1	0051523	BP	cell growth mode switching, monopolar to bipolar
1276135		KID62395.1	0098805	CC	whole membrane
1276135		KID62395.1	0019867	CC	outer membrane
1276135		KID62395.1	1903078	BP	positive regulation of protein localization to plasma membrane
1276135		KID62395.1	0005739	CC	mitochondrion
1276135		KID62395.1	0031975	CC	envelope
1276135		KID62395.1	0031226	CC	intrinsic component of plasma membrane
1276135		KID62395.1	0071852	BP	fungal-type cell wall organization or biogenesis
1276135		KID62395.1	0001522	BP	pseudouridine synthesis
1276135		KID62395.1	0042254	BP	ribosome biogenesis
1276135		KID62395.1	0055085	BP	transmembrane transport
1276135		KID62395.1	0055114	BP	oxidation-reduction process
1276135		KID62396.1	0030246	MF	carbohydrate binding
1276135		KID62396.1	0008654	BP	phospholipid biosynthetic process
1276135		KID62396.1	0016020	CC	membrane
1276135		KID62396.1	0016780	MF	phosphotransferase activity, for other substituted phosphate groups
1276135		KID62397.1	0016301	MF	kinase activity
1276135		KID62397.1	0016310	BP	phosphorylation
1276135		KID62397.1	0016021	CC	integral component of membrane
1276135		KID62397.1	0016712	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
1276135		KID62397.1	0055114	BP	oxidation-reduction process
1276135		KID62397.1	0005506	MF	iron ion binding
1276135		KID62397.1	0020037	MF	heme binding
1276135		KID62398.1	0004672	MF	protein kinase activity
1276135		KID62398.1	0006468	BP	protein phosphorylation
1276135		KID62398.1	0005524	MF	ATP binding
1276135		KID62399.1	0019784	MF	NEDD8-specific protease activity
1276135		KID62399.1	0039648	BP	modulation by virus of host protein ubiquitination
