organism	id	protein_id	go_id	ontology	description		
1276135		KID60337.1	16491	MF	oxidoreductase activity		
1276135		KID60338.1	16021	CC	integral component of membrane		
1276135		KID60338.1	3723	MF	RNA binding		
1276135		KID60338.1	45493	BP	xylan catabolic process		
1276135		KID60338.1	31176	MF	endo-1		
1276135		KID60338.1	30247	MF	polysaccharide binding		
1276135		KID60338.1	16301	MF	kinase activity		
1276135		KID60338.1	16310	BP	phosphorylation		
1276135		KID60340.1	16787	MF	hydrolase activity		
1276135		KID60340.1	23014	BP	signal transduction by protein phosphorylation		
1276135		KID60340.1	155	MF	phosphorelay sensor kinase activity		
1276135		KID60340.1	160	BP	phosphorelay signal transduction system		
1276135		KID60340.1	6355	BP	regulation of transcription		
1276135		KID60340.1	4351	MF	glutamate decarboxylase activity		
1276135		KID60340.1	30170	MF	pyridoxal phosphate binding		
1276135		KID60340.1	6536	BP	glutamate metabolic process		
1276135		KID60340.1	5975	BP	carbohydrate metabolic process		
1276135		KID60341.1	8897	MF	holo-[acyl-carrier-protein] synthase activity		
1276135		KID60341.1	287	MF	magnesium ion binding		
1276135		KID60342.1	3676	MF	nucleic acid binding		
1276135		KID60342.1	16021	CC	integral component of membrane		
1276135		KID60343.1	5785	CC	signal recognition particle receptor complex		
1276135		KID60343.1	5047	MF	signal recognition particle binding		
1276135		KID60343.1	6614	BP	SRP-dependent cotranslational protein targeting to membrane		
1276135		KID60343.1	3924	MF	GTPase activity		
1276135		KID60343.1	5525	MF	GTP binding		
1276135		KID60343.1	31966	CC	mitochondrial membrane		
1276135		KID60343.1	6468	BP	protein phosphorylation		
1276135		KID60343.1	4674	MF	protein serine/threonine kinase activity		
1276135		KID60343.1	16021	CC	integral component of membrane		
1276135		KID60343.1	5524	MF	ATP binding		
1276135		KID60344.1	6888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport		
1276135		KID60344.1	5789	CC	endoplasmic reticulum membrane		
1276135		KID60344.1	3824	MF	catalytic activity		
1276135		KID60344.1	16021	CC	integral component of membrane		
1276135		KID60344.1	5793	CC	endoplasmic reticulum-Golgi intermediate compartment		
1276135		KID60344.1	31228	CC	intrinsic component of Golgi membrane		
1276135		KID60344.1	30134	CC	COPII-coated ER to Golgi transport vesicle		
1276135		KID60345.1	16021	CC	integral component of membrane		
1276135		KID60345.1	6888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport		
1276135		KID60345.1	8168	MF	methyltransferase activity		
1276135		KID60345.1	3676	MF	nucleic acid binding		
1276135		KID60345.1	5789	CC	endoplasmic reticulum membrane		
1276135		KID60345.1	16255	BP	attachment of GPI anchor to protein		
1276135		KID60345.1	31300	CC	intrinsic component of organelle membrane		
1276135		KID60345.1	1902494	CC	catalytic complex		
1276135		KID60345.1	98796	CC	membrane protein complex		
1276135		KID60345.1	31226	CC	intrinsic component of plasma membrane		
1276135		KID60345.1	32259	BP	methylation		
1276135		KID60345.1	6412	BP	translation		
1276135		KID60345.1	55085	BP	transmembrane transport		
1276135		KID60347.1	45735	MF	nutrient reservoir activity		
1276135		KID60347.1	160	BP	phosphorelay signal transduction system		
1276135		KID60347.1	155	MF	phosphorelay sensor kinase activity		
1276135		KID60347.1	23014	BP	signal transduction by protein phosphorylation		
1276135		KID60347.1	8080	MF	N-acetyltransferase activity		
1276135		KID60348.1	5887	CC	integral component of plasma membrane		
1276135		KID60348.1	55085	BP	transmembrane transport		
1276135		KID60348.1	22857	MF	transmembrane transporter activity		
1276135		KID60348.1	8270	MF	zinc ion binding		
1276135		KID60348.1	6351	BP	transcription		
1276135		KID60348.1	3677	MF	DNA binding		
1276135		KID60348.1	5634	CC	nucleus		
1276135		KID60349.1	31177	MF	phosphopantetheine binding		
1276135		KID60349.1	55114	BP	oxidation-reduction process		
1276135		KID60349.1	16021	CC	integral component of membrane		
1276135		KID60349.1	16491	MF	oxidoreductase activity		
1276135		KID60349.1	16740	MF	transferase activity		
1276135		KID60350.1	8171	MF	O-methyltransferase activity		
1276135		KID60350.1	32259	BP	methylation		
1276135		KID60350.1	30790	MF	chlorophenol O-methyltransferase activity		
1276135		KID60351.1	8168	MF	methyltransferase activity		
1276135		KID60351.1	32259	BP	methylation		
1276135		KID60351.1	16021	CC	integral component of membrane		
1276135		KID60353.1	5544	MF	calcium-dependent phospholipid binding		
1276135		KID60353.1	16021	CC	integral component of membrane		
1276135		KID60353.1	5509	MF	calcium ion binding		
1276135		KID60354.1	1990116	BP	ribosome-associated ubiquitin-dependent protein catabolic process		
1276135		KID60354.1	1990112	CC	RQC complex		
1276135		KID60354.1	981	MF	DNA-binding transcription factor activity		
1276135		KID60354.1	72344	BP	rescue of stalled ribosome		
1276135		KID60354.1	43023	MF	ribosomal large subunit binding		
1276135		KID60354.1	5829	CC	cytosol		
1276135		KID60354.1	6357	BP	regulation of transcription by RNA polymerase II		
1276135		KID60354.1	5634	CC	nucleus		
1276135		KID60354.1	8270	MF	zinc ion binding		
1276135		KID60354.1	49	MF	tRNA binding		
1276135		KID60355.1	90729	MF	toxin activity		
1276135		KID60355.1	5615	CC	extracellular space		
1276135		KID60355.1	9405	BP	pathogenesis		
1276135		KID60355.1	16491	MF	oxidoreductase activity		
1276135		KID60355.1	55114	BP	oxidation-reduction process		
1276135		KID60356.1	45901	BP	positive regulation of translational elongation		
1276135		KID60356.1	43022	MF	ribosome binding		
1276135		KID60356.1	5615	CC	extracellular space		
1276135		KID60356.1	3746	MF	translation elongation factor activity		
1276135		KID60356.1	5777	CC	peroxisome		
1276135		KID60356.1	4197	MF	cysteine-type endopeptidase activity		
1276135		KID60356.1	16021	CC	integral component of membrane		
1276135		KID60356.1	6414	BP	translational elongation		
1276135		KID60356.1	90729	MF	toxin activity		
1276135		KID60356.1	45905	BP	positive regulation of translational termination		
1276135		KID60356.1	6508	BP	proteolysis		
1276135		KID60356.1	9405	BP	pathogenesis		
1276135		KID60357.1	4197	MF	cysteine-type endopeptidase activity		
1276135		KID60357.1	6508	BP	proteolysis		
1276135		KID60357.1	5737	CC	cytoplasm		
1276135		KID60357.1	43418	BP	homocysteine catabolic process		
1276135		KID60357.1	4177	MF	aminopeptidase activity		
1276135		KID60357.1	9636	BP	response to toxic substance		
1276135		KID60358.1	3676	MF	nucleic acid binding		
1276135		KID60360.1	6506	BP	GPI anchor biosynthetic process		
1276135		KID60360.1	5789	CC	endoplasmic reticulum membrane		
1276135		KID60360.1	16746	MF	transferase activity		
1276135		KID60360.1	16021	CC	integral component of membrane		
1276135		KID60360.1	72659	BP	protein localization to plasma membrane		
1276135		KID60361.1	16021	CC	integral component of membrane		
1276135		KID60361.1	16740	MF	transferase activity		
1276135		KID60363.1	3777	MF	microtubule motor activity		
1276135		KID60363.1	7018	BP	microtubule-based movement		
1276135		KID60363.1	5874	CC	microtubule		
1276135		KID60363.1	8017	MF	microtubule binding		
1276135		KID60363.1	43666	BP	regulation of phosphoprotein phosphatase activity		
1276135		KID60363.1	30289	CC	protein phosphatase 4 complex		
1276135		KID60363.1	5524	MF	ATP binding		
1276135		KID60363.1	90307	BP	mitotic spindle assembly		
1276135		KID60363.1	5887	CC	integral component of plasma membrane		
1276135		KID60363.1	5871	CC	kinesin complex		
1276135		KID60363.1	55085	BP	transmembrane transport		
1276135		KID60363.1	19888	MF	protein phosphatase regulator activity		
1276135		KID60363.1	5819	CC	spindle		
1276135		KID60363.1	5634	CC	nucleus		
1276135		KID60363.1	8080	MF	N-acetyltransferase activity		
1276135		KID60363.1	42623	MF	ATPase activity		
1276135		KID60364.1	5887	CC	integral component of plasma membrane		
1276135		KID60364.1	55085	BP	transmembrane transport		
1276135		KID60364.1	22857	MF	transmembrane transporter activity		
1276135		KID60364.1	3777	MF	microtubule motor activity		
1276135		KID60364.1	8017	MF	microtubule binding		
1276135		KID60364.1	723	BP	telomere maintenance		
1276135		KID60364.1	7018	BP	microtubule-based movement		
1276135		KID60364.1	30870	CC	Mre11 complex		
1276135		KID60364.1	6281	BP	DNA repair		
1276135		KID60364.1	16810	MF	hydrolase activity		
1276135		KID60364.1	16887	MF	ATPase activity		
1276135		KID60364.1	5524	MF	ATP binding		
1276135		KID60365.1	16705	MF	oxidoreductase activity		
1276135		KID60365.1	55114	BP	oxidation-reduction process		
1276135		KID60365.1	16021	CC	integral component of membrane		
1276135		KID60365.1	5506	MF	iron ion binding		
1276135		KID60365.1	20037	MF	heme binding		
1276135		KID60365.1	6351	BP	transcription		
1276135		KID60365.1	5634	CC	nucleus		
1276135		KID60365.1	4497	MF	monooxygenase activity		
1276135		KID60365.1	5737	CC	cytoplasm		
1276135		KID60365.1	30163	BP	protein catabolic process		
1276135		KID60365.1	8270	MF	zinc ion binding		
1276135		KID60365.1	3677	MF	DNA binding		
1276135		KID60365.1	5524	MF	ATP binding		
1276135		KID60365.1	16787	MF	hydrolase activity		
1276135		KID60365.1	1901135	BP	carbohydrate derivative metabolic process		
1276135		KID60366.1	71949	MF	FAD binding		
1276135		KID60366.1	43001	BP	Golgi to plasma membrane protein transport		
1276135		KID60366.1	5802	CC	trans-Golgi network		
1276135		KID60366.1	3777	MF	microtubule motor activity		
1276135		KID60366.1	8017	MF	microtubule binding		
1276135		KID60366.1	7018	BP	microtubule-based movement		
1276135		KID60366.1	16491	MF	oxidoreductase activity		
1276135		KID60366.1	55114	BP	oxidation-reduction process		
1276135		KID60366.1	16021	CC	integral component of membrane		
1276135		KID60366.1	5524	MF	ATP binding		
1276135		KID60367.1	71949	MF	FAD binding		
1276135		KID60367.1	55114	BP	oxidation-reduction process		
1276135		KID60367.1	16021	CC	integral component of membrane		
1276135		KID60367.1	1903457	BP	lactate catabolic process		
1276135		KID60367.1	16491	MF	oxidoreductase activity		
1276135		KID60367.1	5739	CC	mitochondrion		
1276135		KID60367.1	19866	CC	organelle inner membrane		
1276135		KID60367.1	5975	BP	carbohydrate metabolic process		
1276135		KID60367.1	4553	MF	hydrolase activity		
1276135		KID60367.1	3777	MF	microtubule motor activity		
1276135		KID60367.1	7018	BP	microtubule-based movement		
1276135		KID60367.1	8017	MF	microtubule binding		
1276135		KID60367.1	5524	MF	ATP binding		
1276135		KID60369.1	16853	MF	isomerase activity		
1276135		KID60369.1	6357	BP	regulation of transcription by RNA polymerase II		
1276135		KID60369.1	5634	CC	nucleus		
1276135		KID60369.1	6468	BP	protein phosphorylation		
1276135		KID60369.1	4300	MF	enoyl-CoA hydratase activity		
1276135		KID60369.1	6351	BP	transcription		
1276135		KID60369.1	4674	MF	protein serine/threonine kinase activity		
1276135		KID60369.1	981	MF	DNA-binding transcription factor activity		
1276135		KID60369.1	16021	CC	integral component of membrane		
1276135		KID60369.1	55085	BP	transmembrane transport		
1276135		KID60369.1	8270	MF	zinc ion binding		
1276135		KID60369.1	22857	MF	transmembrane transporter activity		
1276135		KID60369.1	5524	MF	ATP binding		
1276135		KID60369.1	3677	MF	DNA binding		
1276135		KID60370.1	3743	MF	translation initiation factor activity		
1276135		KID60370.1	6413	BP	translational initiation		
1276135		KID60370.1	3677	MF	DNA binding		
1276135		KID60370.1	6355	BP	regulation of transcription		
1276135		KID60371.1	463	BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA		
1276135		KID60371.1	30687	CC	preribosome		
1276135		KID60371.1	43021	MF	ribonucleoprotein complex binding		
1276135		KID60371.1	466	BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA		
1276135		KID60371.1	5654	CC	nucleoplasm		
1276135		KID60371.1	5730	CC	nucleolus		
1276135		KID60371.1	30686	CC	90S preribosome		
1276135		KID60372.1	16255	BP	attachment of GPI anchor to protein		
1276135		KID60372.1	42765	CC	GPI-anchor transamidase complex		
1276135		KID60372.1	51301	BP	cell division		
1276135		KID60373.1	1401	CC	SAM complex		
1276135		KID60373.1	16021	CC	integral component of membrane		
1276135		KID60375.1	4822	MF	isoleucine-tRNA ligase activity		
1276135		KID60375.1	6428	BP	isoleucyl-tRNA aminoacylation		
1276135		KID60375.1	5739	CC	mitochondrion		
1276135		KID60375.1	2161	MF	aminoacyl-tRNA editing activity		
1276135		KID60375.1	106074	BP	aminoacyl-tRNA metabolism involved in translational fidelity		
1276135		KID60375.1	16021	CC	integral component of membrane		
1276135		KID60375.1	49	MF	tRNA binding		
1276135		KID60375.1	5524	MF	ATP binding		
1276135		KID60375.1	16740	MF	transferase activity		
1276135		KID60375.1	32543	BP	mitochondrial translation		
1276135		KID60376.1	16021	CC	integral component of membrane		
1276135		KID60376.1	4822	MF	isoleucine-tRNA ligase activity		
1276135		KID60376.1	6428	BP	isoleucyl-tRNA aminoacylation		
1276135		KID60376.1	2161	MF	aminoacyl-tRNA editing activity		
1276135		KID60376.1	106074	BP	aminoacyl-tRNA metabolism involved in translational fidelity		
1276135		KID60376.1	49	MF	tRNA binding		
1276135		KID60376.1	5743	CC	mitochondrial inner membrane		
1276135		KID60376.1	35639	MF	purine ribonucleoside triphosphate binding		
1276135		KID60376.1	32555	MF	purine ribonucleotide binding		
1276135		KID60376.1	30554	MF	adenyl nucleotide binding		
1276135		KID60376.1	8144	MF	drug binding		
1276135		KID60376.1	3924	MF	GTPase activity		
1276135		KID60376.1	32550	MF	purine ribonucleoside binding		
1276135		KID60376.1	19001	MF	guanyl nucleotide binding		
1276135		KID60377.1	42578	MF	phosphoric ester hydrolase activity		
1276135		KID60377.1	16021	CC	integral component of membrane		
1276135		KID60377.1	46856	BP	phosphatidylinositol dephosphorylation		
1276135		KID60377.1	5783	CC	endoplasmic reticulum		
1276135		KID60377.1	31228	CC	intrinsic component of Golgi membrane		
1276135		KID60377.1	17157	BP	regulation of exocytosis		
1276135		KID60377.1	5741	CC	mitochondrial outer membrane		
1276135		KID60377.1	48017	BP	inositol lipid-mediated signaling		
1276135		KID60377.1	6887	BP	exocytosis		
1276135		KID60377.1	42175	CC	nuclear outer membrane-endoplasmic reticulum membrane network		
1276135		KID60378.1	5743	CC	mitochondrial inner membrane		
1276135		KID60378.1	3924	MF	GTPase activity		
1276135		KID60378.1	46901	BP	tetrahydrofolylpolyglutamate biosynthetic process		
1276135		KID60378.1	5525	MF	GTP binding		
1276135		KID60378.1	4326	MF	tetrahydrofolylpolyglutamate synthase activity		
1276135		KID60378.1	16021	CC	integral component of membrane		
1276135		KID60378.1	5524	MF	ATP binding		
1276135		KID60378.1	71949	MF	FAD binding		
1276135		KID60378.1	16491	MF	oxidoreductase activity		
1276135		KID60378.1	55114	BP	oxidation-reduction process		
1276135		KID60379.1	4326	MF	tetrahydrofolylpolyglutamate synthase activity		
1276135		KID60379.1	46901	BP	tetrahydrofolylpolyglutamate biosynthetic process		
1276135		KID60379.1	5743	CC	mitochondrial inner membrane		
1276135		KID60379.1	5524	MF	ATP binding		
1276135		KID60379.1	6730	BP	one-carbon metabolic process		
1276135		KID60379.1	46872	MF	metal ion binding		
1276135		KID60379.1	16021	CC	integral component of membrane		
1276135		KID60379.1	3924	MF	GTPase activity		
1276135		KID60379.1	5525	MF	GTP binding		
1276135		KID60379.1	5829	CC	cytosol		
1276135		KID60379.1	8168	MF	methyltransferase activity		
1276135		KID60379.1	32259	BP	methylation		
1276135		KID60380.1	4326	MF	tetrahydrofolylpolyglutamate synthase activity		
1276135		KID60380.1	46901	BP	tetrahydrofolylpolyglutamate biosynthetic process		
1276135		KID60380.1	5759	CC	mitochondrial matrix		
1276135		KID60380.1	5829	CC	cytosol		
1276135		KID60380.1	5524	MF	ATP binding		
1276135		KID60380.1	5743	CC	mitochondrial inner membrane		
1276135		KID60380.1	6730	BP	one-carbon metabolic process		
1276135		KID60380.1	46872	MF	metal ion binding		
1276135		KID60380.1	16846	MF	carbon-sulfur lyase activity		
1276135		KID60381.1	16846	MF	carbon-sulfur lyase activity		
1276135		KID60381.1	46901	BP	tetrahydrofolylpolyglutamate biosynthetic process		
1276135		KID60381.1	4326	MF	tetrahydrofolylpolyglutamate synthase activity		
1276135		KID60381.1	5524	MF	ATP binding		
1276135		KID60381.1	4252	MF	serine-type endopeptidase activity		
1276135		KID60381.1	8168	MF	methyltransferase activity		
1276135		KID60381.1	46872	MF	metal ion binding		
1276135		KID60381.1	6508	BP	proteolysis		
1276135		KID60381.1	6480	BP	N-terminal protein amino acid methylation		
1276135		KID60382.1	19212	MF	phosphatase inhibitor activity		
1276135		KID60382.1	10923	BP	negative regulation of phosphatase activity		
1276135		KID60382.1	3714	MF	transcription corepressor activity		
1276135		KID60382.1	122	BP	negative regulation of transcription by RNA polymerase II		
1276135		KID60382.1	3682	MF	chromatin binding		
1276135		KID60383.1	42393	MF	histone binding		
1276135		KID60383.1	5634	CC	nucleus		
1276135		KID60383.1	6355	BP	regulation of transcription		
1276135		KID60383.1	46982	MF	protein heterodimerization activity		
1276135		KID60383.1	3677	MF	DNA binding		
1276135		KID60384.1	4674	MF	protein serine/threonine kinase activity		
1276135		KID60384.1	6468	BP	protein phosphorylation		
1276135		KID60384.1	5524	MF	ATP binding		
1276135		KID60385.1	34477	BP	U6 snRNA 3'-end processing		
1276135		KID60385.1	1990838	MF	poly(U)-specific exoribonuclease activity		
1276135		KID60385.1	502	CC	proteasome complex		
1276135		KID60385.1	5634	CC	nucleus		
1276135		KID60385.1	90503	BP	RNA phosphodiester bond hydrolysis		
1276135		KID60387.1	34045	CC	phagophore assembly site membrane		
1276135		KID60387.1	6914	BP	autophagy		
1276135		KID60387.1	5524	MF	ATP binding		
1276135		KID60387.1	5774	CC	vacuolar membrane		
1276135		KID60387.1	15031	BP	protein transport		
1276135		KID60390.1	34501	BP	protein localization to kinetochore		
1276135		KID60390.1	16021	CC	integral component of membrane		
1276135		KID60390.1	8608	BP	attachment of spindle microtubules to kinetochore		
1276135		KID60390.1	5643	CC	nuclear pore		
1276135		KID60391.1	3735	MF	structural constituent of ribosome		
1276135		KID60391.1	5840	CC	ribosome		
1276135		KID60391.1	6412	BP	translation		
1276135		KID60391.1	44445	CC	cytosolic part		
1276135		KID60391.1	44446	CC	intracellular organelle part		
1276135		KID60393.1	6914	BP	autophagy		
1276135		KID60393.1	407	CC	phagophore assembly site		
1276135		KID60393.1	16303	MF	1-phosphatidylinositol-3-kinase activity		
1276135		KID60393.1	34271	CC	phosphatidylinositol 3-kinase complex		
1276135		KID60393.1	34272	CC	phosphatidylinositol 3-kinase complex		
1276135		KID60393.1	5524	MF	ATP binding		
1276135		KID60393.1	32258	BP	protein localization by the Cvt pathway		
1276135		KID60393.1	6995	BP	cellular response to nitrogen starvation		
1276135		KID60393.1	10008	CC	endosome membrane		
1276135		KID60393.1	45324	BP	late endosome to vacuole transport		
1276135		KID60393.1	36092	BP	phosphatidylinositol-3-phosphate biosynthetic process		
1276135		KID60393.1	5774	CC	vacuolar membrane		
1276135		KID60393.1	7033	BP	vacuole organization		
1276135		KID60393.1	46872	MF	metal ion binding		
1276135		KID60393.1	16887	MF	ATPase activity		
1276135		KID60393.1	42626	MF	ATPase-coupled transmembrane transporter activity		
1276135		KID60393.1	70925	BP	organelle assembly		
1276135		KID60393.1	16021	CC	integral component of membrane		
1276135		KID60393.1	15031	BP	protein transport		
1276135		KID60393.1	55085	BP	transmembrane transport		
1276135		KID60395.1	5524	MF	ATP binding		
1276135		KID60396.1	16560	BP	protein import into peroxisome matrix		
1276135		KID60396.1	42579	CC	microbody		
1276135		KID60396.1	16021	CC	integral component of membrane		
1276135		KID60396.1	1990429	CC	peroxisomal importomer complex		
1276135		KID60396.1	98805	CC	whole membrane		
1276135		KID60396.1	98588	CC	bounding membrane of organelle		
1276135		KID60396.1	44446	CC	intracellular organelle part		
1276135		KID60396.1	6631	BP	fatty acid metabolic process		
1276135		KID60397.1	16874	MF	ligase activity		
1276135		KID60397.1	6437	BP	tyrosyl-tRNA aminoacylation		
1276135		KID60397.1	5737	CC	cytoplasm		
1276135		KID60397.1	140101	MF	catalytic activity		
1276135		KID60397.1	166	MF	nucleotide binding		
1276135		KID60397.1	16021	CC	integral component of membrane		
1276135		KID60397.1	43168	MF	anion binding		
1276135		KID60397.1	8144	MF	drug binding		
1276135		KID60397.1	97367	MF	carbohydrate derivative binding		
1276135		KID60397.1	3723	MF	RNA binding		
1276135		KID60397.1	42626	MF	ATPase-coupled transmembrane transporter activity		
1276135		KID60397.1	4672	MF	protein kinase activity		
1276135		KID60397.1	50662	MF	coenzyme binding		
1276135		KID60397.1	16887	MF	ATPase activity		
1276135		KID60397.1	6468	BP	protein phosphorylation		
1276135		KID60397.1	16491	MF	oxidoreductase activity		
1276135		KID60397.1	55085	BP	transmembrane transport		
1276135		KID60397.1	55114	BP	oxidation-reduction process		
1276135		KID60397.1	3700	MF	DNA-binding transcription factor activity		
1276135		KID60397.1	6355	BP	regulation of transcription		
1276135		KID60398.1	33186	CC	CAF-1 complex		
1276135		KID60398.1	6334	BP	nucleosome assembly		
1276135		KID60398.1	42393	MF	histone binding		
1276135		KID60398.1	5634	CC	nucleus		
1276135		KID60398.1	5975	BP	carbohydrate metabolic process		
1276135		KID60399.1	42626	MF	ATPase-coupled transmembrane transporter activity		
1276135		KID60399.1	55085	BP	transmembrane transport		
1276135		KID60399.1	16021	CC	integral component of membrane		
1276135		KID60399.1	16887	MF	ATPase activity		
1276135		KID60399.1	9972	BP	cytidine deamination		
1276135		KID60399.1	5524	MF	ATP binding		
1276135		KID60399.1	4126	MF	cytidine deaminase activity		
1276135		KID60399.1	5975	BP	carbohydrate metabolic process		
1276135		KID60399.1	8270	MF	zinc ion binding		
1276135		KID60400.1	17150	MF	tRNA dihydrouridine synthase activity		
1276135		KID60400.1	2943	BP	tRNA dihydrouridine synthesis		
1276135		KID60400.1	5634	CC	nucleus		
1276135		KID60400.1	50660	MF	flavin adenine dinucleotide binding		
1276135		KID60400.1	5737	CC	cytoplasm		
1276135		KID60400.1	55114	BP	oxidation-reduction process		
1276135		KID60400.1	46872	MF	metal ion binding		
1276135		KID60401.1	51285	CC	cell cortex of cell tip		
1276135		KID60401.1	8360	BP	regulation of cell shape		
1276135		KID60402.1	16021	CC	integral component of membrane		
1276135		KID60402.1	33617	BP	mitochondrial respiratory chain complex IV assembly		
1276135		KID60402.1	3777	MF	microtubule motor activity		
1276135		KID60402.1	8017	MF	microtubule binding		
1276135		KID60402.1	7018	BP	microtubule-based movement		
1276135		KID60402.1	31304	CC	intrinsic component of mitochondrial inner membrane		
1276135		KID60402.1	5524	MF	ATP binding		
1276135		KID60403.1	3676	MF	nucleic acid binding		
1276135		KID60404.1	51285	CC	cell cortex of cell tip		
1276135		KID60404.1	8360	BP	regulation of cell shape		
1276135		KID60405.1	97027	MF	ubiquitin-protein transferase activator activity		
1276135		KID60405.1	1904668	BP	positive regulation of ubiquitin protein ligase activity		
1276135		KID60405.1	10997	MF	anaphase-promoting complex binding		
1276135		KID60405.1	16740	MF	transferase activity		
1276135		KID60405.1	51301	BP	cell division		
1276135		KID60406.1	5672	CC	transcription factor TFIIA complex		
1276135		KID60406.1	6367	BP	transcription initiation from RNA polymerase II promoter		
1276135		KID60406.1	3743	MF	translation initiation factor activity		
1276135		KID60406.1	6413	BP	translational initiation		
1276135		KID60407.1	8168	MF	methyltransferase activity		
1276135		KID60407.1	32259	BP	methylation		
1276135		KID60407.1	5634	CC	nucleus		
1276135		KID60407.1	30435	BP	sporulation resulting in formation of a cellular spore		
1276135		KID60407.1	9405	BP	pathogenesis		
1276135		KID60407.1	5737	CC	cytoplasm		
1276135		KID60408.1	276	CC	mitochondrial proton-transporting ATP synthase complex		
1276135		KID60408.1	15985	BP	energy coupled proton transport		
1276135		KID60408.1	15078	MF	proton transmembrane transporter activity		
1276135		KID60408.1	6754	BP	ATP biosynthetic process		
1276135		KID60408.1	4326	MF	tetrahydrofolylpolyglutamate synthase activity		
1276135		KID60408.1	3697	MF	single-stranded DNA binding		
1276135		KID60408.1	4519	MF	endonuclease activity		
1276135		KID60408.1	5524	MF	ATP binding		
1276135		KID60408.1	5634	CC	nucleus		
1276135		KID60408.1	55114	BP	oxidation-reduction process		
1276135		KID60408.1	46901	BP	tetrahydrofolylpolyglutamate biosynthetic process		
1276135		KID60408.1	6289	BP	nucleotide-excision repair		
1276135		KID60408.1	90305	BP	nucleic acid phosphodiester bond hydrolysis		
1276135		KID60409.1	55114	BP	oxidation-reduction process		
1276135		KID60409.1	50019	MF	L-arabinitol 4-dehydrogenase activity		
1276135		KID60409.1	276	CC	mitochondrial proton-transporting ATP synthase complex		
1276135		KID60409.1	8270	MF	zinc ion binding		
1276135		KID60409.1	19569	BP	L-arabinose catabolic process to xylulose 5-phosphate		
1276135		KID60409.1	15985	BP	energy coupled proton transport		
1276135		KID60409.1	6754	BP	ATP biosynthetic process		
1276135		KID60409.1	15078	MF	proton transmembrane transporter activity		
1276135		KID60409.1	3939	MF	L-iditol 2-dehydrogenase activity		
1276135		KID60409.1	166	MF	nucleotide binding		
1276135		KID60409.1	42843	BP	D-xylose catabolic process		
1276135		KID60409.1	16021	CC	integral component of membrane		
1276135		KID60409.1	19402	BP	galactitol metabolic process		
1276135		KID60409.1	19388	BP	galactose catabolic process		
1276135		KID60410.1	9584	BP	detection of visible light		
1276135		KID60410.1	3824	MF	catalytic activity		
1276135		KID60410.1	16021	CC	integral component of membrane		
1276135		KID60410.1	140299	MF	small molecule sensor activity		
1276135		KID60410.1	5886	CC	plasma membrane		
1276135		KID60410.1	18298	BP	protein-chromophore linkage		
1276135		KID60410.1	23014	BP	signal transduction by protein phosphorylation		
1276135		KID60410.1	160	BP	phosphorelay signal transduction system		
1276135		KID60410.1	6355	BP	regulation of transcription		
1276135		KID60411.1	5886	CC	plasma membrane		
1276135		KID60411.1	16021	CC	integral component of membrane		
1276135		KID60412.1	4724	MF	magnesium-dependent protein serine/threonine phosphatase activity		
1276135		KID60412.1	6470	BP	protein dephosphorylation		
1276135		KID60412.1	324	CC	fungal-type vacuole		
1276135		KID60412.1	48037	MF	cofactor binding		
1276135		KID60412.1	46872	MF	metal ion binding		
1276135		KID60414.1	6412	BP	translation		
1276135		KID60414.1	9013	MF	succinate-semialdehyde dehydrogenase [NAD(P)+] activity		
1276135		KID60414.1	5739	CC	mitochondrion		
1276135		KID60414.1	16021	CC	integral component of membrane		
1276135		KID60414.1	4499	MF	N		
1276135		KID60414.1	16301	MF	kinase activity		
1276135		KID60414.1	50661	MF	NADP binding		
1276135		KID60414.1	50660	MF	flavin adenine dinucleotide binding		
1276135		KID60414.1	43023	MF	ribosomal large subunit binding		
1276135		KID60414.1	9450	BP	gamma-aminobutyric acid catabolic process		
1276135		KID60414.1	55114	BP	oxidation-reduction process		
1276135		KID60414.1	16310	BP	phosphorylation		
1276135		KID60414.1	43624	BP	cellular protein complex disassembly		
1276135		KID60415.1	4777	MF	succinate-semialdehyde dehydrogenase (NAD+) activity		
1276135		KID60415.1	9450	BP	gamma-aminobutyric acid catabolic process		
1276135		KID60415.1	16021	CC	integral component of membrane		
1276135		KID60415.1	9013	MF	succinate-semialdehyde dehydrogenase [NAD(P)+] activity		
1276135		KID60415.1	55114	BP	oxidation-reduction process		
1276135		KID60416.1	16021	CC	integral component of membrane		
1276135		KID60416.1	9450	BP	gamma-aminobutyric acid catabolic process		
1276135		KID60416.1	9013	MF	succinate-semialdehyde dehydrogenase [NAD(P)+] activity		
1276135		KID60416.1	4777	MF	succinate-semialdehyde dehydrogenase (NAD+) activity		
1276135		KID60416.1	5524	MF	ATP binding		
1276135		KID60416.1	3676	MF	nucleic acid binding		
1276135		KID60416.1	55114	BP	oxidation-reduction process		
1276135		KID60417.1	155	MF	phosphorelay sensor kinase activity		
1276135		KID60417.1	23014	BP	signal transduction by protein phosphorylation		
1276135		KID60417.1	160	BP	phosphorelay signal transduction system		
1276135		KID60417.1	5524	MF	ATP binding		
1276135		KID60417.1	6355	BP	regulation of transcription		
